layer,variant,accuracy,auroc,majority_baseline,shuffled_accuracy,cities_transfer_accuracy,cities_transfer_auroc
0,pooled,0.753125,0.777265625,0.5,0.521875,0.50625,0.547265625
0,and,0.75,0.6214583333333333,0.75,0.8,0.50625,0.547265625
0,or,0.75,0.5429166666666666,0.75,0.7625,0.50625,0.547265625
1,pooled,0.759375,0.7727734375,0.5,0.521875,0.465625,0.47113281249999994
1,and,0.75,0.6179166666666667,0.75,0.8,0.465625,0.47113281249999994
1,or,0.75,0.5902083333333332,0.75,0.7625,0.465625,0.47113281249999994
2,pooled,0.746875,0.78265625,0.5,0.525,0.53125,0.4900781249999999
2,and,0.75,0.6762499999999999,0.75,0.8,0.53125,0.4900781249999999
2,or,0.74375,0.6133333333333334,0.75,0.7625,0.53125,0.4900781249999999
3,pooled,0.7625,0.7889453125,0.5,0.51875,0.553125,0.5289453125
3,and,0.75625,0.6622916666666667,0.75,0.8,0.553125,0.5289453125
3,or,0.74375,0.6541666666666666,0.75,0.75625,0.553125,0.5289453125
4,pooled,0.75625,0.795390625,0.5,0.54375,0.575,0.589765625
4,and,0.75,0.6608333333333333,0.75,0.8,0.575,0.589765625
4,or,0.74375,0.65375,0.75,0.75,0.575,0.589765625
5,pooled,0.78125,0.8616796875,0.5,0.5125,0.51875,0.5752343750000001
5,and,0.8,0.81625,0.75,0.76875,0.51875,0.5752343750000001
5,or,0.78125,0.8064583333333333,0.75,0.75,0.51875,0.5752343750000001
6,pooled,0.7875,0.8604296874999999,0.5,0.51875,0.5375,0.646640625
6,and,0.8125,0.8004166666666667,0.75,0.775,0.5375,0.646640625
6,or,0.8125,0.805625,0.75,0.76875,0.5375,0.646640625
7,pooled,0.80625,0.8974218749999999,0.5,0.5125,0.5125,0.609609375
7,and,0.825,0.8564583333333333,0.75,0.7875,0.5125,0.609609375
7,or,0.83125,0.8391666666666666,0.75,0.7625,0.5125,0.609609375
8,pooled,0.8375,0.9171484375,0.5,0.528125,0.509375,0.5470703125
8,and,0.83125,0.8875,0.75,0.79375,0.509375,0.5470703125
8,or,0.8625,0.85875,0.75,0.75625,0.509375,0.5470703125
9,pooled,0.859375,0.93578125,0.5,0.51875,0.515625,0.5477734375
9,and,0.85625,0.8877083333333333,0.75,0.7875,0.515625,0.5477734375
9,or,0.8625,0.868125,0.75,0.75625,0.515625,0.5477734375
10,pooled,0.921875,0.9822265625,0.5,0.49375,0.509375,0.7772265624999999
10,and,0.93125,0.9741666666666667,0.75,0.75625,0.509375,0.7772265624999999
10,or,0.95,0.98,0.75,0.75,0.509375,0.7772265624999999
11,pooled,0.928125,0.980703125,0.5,0.478125,0.509375,0.7313281249999999
11,and,0.9375,0.9691666666666667,0.75,0.775,0.509375,0.7313281249999999
11,or,0.9375,0.980625,0.75,0.7625,0.509375,0.7313281249999999
12,pooled,0.928125,0.9821484375,0.5,0.5,0.521875,0.665078125
12,and,0.91875,0.9779166666666667,0.75,0.79375,0.521875,0.665078125
12,or,0.94375,0.9841666666666667,0.75,0.75,0.521875,0.665078125
13,pooled,0.95,0.99046875,0.5,0.503125,0.509375,0.6791015625000001
13,and,0.95625,0.9897916666666666,0.75,0.775,0.509375,0.6791015625000001
13,or,0.9625,0.9929166666666667,0.75,0.75625,0.509375,0.6791015625000001
14,pooled,0.953125,0.9923437500000001,0.5,0.5125,0.534375,0.667734375
14,and,0.96875,0.9904166666666667,0.75,0.7875,0.534375,0.667734375
14,or,0.95625,0.9937499999999999,0.75,0.74375,0.534375,0.667734375
15,pooled,0.959375,0.9950781249999999,0.5,0.49375,0.5375,0.6106640625
15,and,0.96875,0.9933333333333333,0.75,0.76875,0.5375,0.6106640625
15,or,0.925,0.9883333333333333,0.75,0.76875,0.5375,0.6106640625
16,pooled,0.959375,0.9953124999999999,0.5,0.471875,0.475,0.51484375
16,and,0.96875,0.9920833333333333,0.75,0.76875,0.475,0.51484375
16,or,0.95625,0.9858333333333333,0.75,0.725,0.475,0.51484375
17,pooled,0.959375,0.99453125,0.5,0.5,0.534375,0.56296875
17,and,0.975,0.993125,0.75,0.75,0.534375,0.56296875
17,or,0.93125,0.9795833333333333,0.75,0.71875,0.534375,0.56296875
18,pooled,0.959375,0.9933203125000001,0.5,0.51875,0.5375,0.56734375
18,and,0.95625,0.99375,0.75,0.7625,0.5375,0.56734375
18,or,0.94375,0.98375,0.75,0.73125,0.5375,0.56734375
19,pooled,0.9625,0.9938671875,0.5,0.51875,0.54375,0.5206640625
19,and,0.95625,0.9933333333333334,0.75,0.7375,0.54375,0.5206640625
19,or,0.95,0.9847916666666667,0.75,0.7,0.54375,0.5206640625
20,pooled,0.95625,0.993671875,0.5,0.509375,0.509375,0.5140625
20,and,0.95625,0.994375,0.75,0.70625,0.509375,0.5140625
20,or,0.95625,0.9854166666666667,0.75,0.675,0.509375,0.5140625
21,pooled,0.946875,0.9917578125,0.5,0.51875,0.50625,0.5178906249999999
21,and,0.95625,0.9945833333333333,0.75,0.7,0.50625,0.5178906249999999
21,or,0.95,0.9864583333333333,0.75,0.7,0.50625,0.5178906249999999
22,pooled,0.95,0.9874999999999999,0.5,0.48125,0.521875,0.5558203125
22,and,0.95625,0.9914583333333333,0.75,0.71875,0.521875,0.5558203125
22,or,0.94375,0.9814583333333333,0.75,0.6625,0.521875,0.5558203125
23,pooled,0.940625,0.98546875,0.5,0.509375,0.534375,0.621015625
23,and,0.95,0.9872916666666667,0.75,0.68125,0.534375,0.621015625
23,or,0.94375,0.979375,0.75,0.6625,0.534375,0.621015625
24,pooled,0.934375,0.98046875,0.5,0.5125,0.525,0.538671875
24,and,0.95,0.9833333333333333,0.75,0.675,0.525,0.538671875
24,or,0.93125,0.9841666666666666,0.75,0.65625,0.525,0.538671875
25,pooled,0.93125,0.9807421875,0.5,0.465625,0.51875,0.5676171874999999
25,and,0.95,0.9868750000000001,0.75,0.70625,0.51875,0.5676171874999999
25,or,0.925,0.9810416666666667,0.75,0.60625,0.51875,0.5676171874999999
26,pooled,0.921875,0.9744140625,0.5,0.446875,0.51875,0.52640625
26,and,0.925,0.9847916666666666,0.75,0.6875,0.51875,0.52640625
26,or,0.9375,0.975,0.75,0.6125,0.51875,0.52640625
27,pooled,0.9125,0.966328125,0.5,0.4875,0.509375,0.47910156249999997
27,and,0.925,0.986875,0.75,0.70625,0.509375,0.47910156249999997
27,or,0.925,0.965625,0.75,0.61875,0.509375,0.47910156249999997
