layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi
0,0.5013333333333333,0.4715448964839353,0.5311217701827313
1,0.5906666666666667,0.5777761981815059,0.6035571351518274
2,0.6933333333333334,0.6585815262416003,0.7280851404250664
3,0.716,0.6872653207682222,0.7447346792317777
4,0.744,0.7278636751522062,0.7601363248477938
5,0.8699999999999999,0.8569117122568162,0.8830882877431836
6,0.9086666666666666,0.8907209106510806,0.9266124226822526
7,0.9386666666666666,0.9363997087311392,0.9409336246021941
8,0.946,0.9365619014867849,0.955438098513215
9,0.9486666666666667,0.9367426690517663,0.960590664281567
10,0.9926666666666666,0.9865277155566933,0.9988056177766399
11,0.9926666666666666,0.985865792860084,0.9994675404732491
12,0.992,0.9844813511123365,0.9995186488876635
13,0.9933333333333334,0.9867891894617415,0.9998774772049253
14,0.9933333333333334,0.9867891894617415,0.9998774772049253
15,0.9953333333333333,0.9916314065264029,0.9990352601402637
16,0.994,0.9921490365965348,0.9958509634034652
17,0.9940000000000001,0.9905371645543882,0.997462835445612
18,0.9953333333333333,0.9916314065264029,0.9990352601402637
19,0.992,0.9872809507433924,0.9967190492566076
20,0.992,0.9872809507433924,0.9967190492566076
21,0.992,0.9872809507433924,0.9967190492566076
22,0.9913333333333334,0.9857804431229378,0.996886223543729
23,0.9913333333333334,0.9850564110388386,0.9976102556278282
24,0.9913333333333334,0.9832651709094365,0.9994014957572303
25,0.992,0.9844813511123365,0.9995186488876635
26,0.99,0.982256864548716,0.997743135451284
27,0.9926666666666666,0.9865277155566933,0.9988056177766399
