layer,dim_auc_mean,dim_auc_ci_lo,dim_auc_ci_hi,lr_auc_mean,lr_auc_ci_lo,lr_auc_ci_hi
0,0.5173688888888888,0.48675354884150024,0.5479842289362773,0.5172,0.4777791047721298,0.5566208952278702
1,0.5381244444444444,0.4968965938182799,0.5793522950706089,0.6402666666666667,0.6061123039462016,0.6744210293871317
2,0.5394311111111111,0.49733457284264115,0.581527649379581,0.7749333333333334,0.7429332028846127,0.806933463782054
3,0.5071466666666666,0.45562826063884343,0.5586650726944898,0.7909244444444444,0.7663766281412472,0.8154722607476417
4,0.5075999999999999,0.46605980997577956,0.5491401900242203,0.8147022222222222,0.7940737298770185,0.8353307145674259
5,0.6499111111111111,0.5629128294012284,0.7369093928209938,0.9480000000000001,0.9358930076173608,0.9601069923826393
6,0.6854311111111111,0.6257365876564532,0.745125634565769,0.9732355555555554,0.9666647774109478,0.979806333700163
7,0.9313688888888889,0.9094386947592812,0.9532990830184966,0.986648888888889,0.9829981975644764,0.9902995802133017
8,0.9354755555555556,0.9160339811280059,0.9549171299831053,0.988808888888889,0.9842553015545765,0.9933624762232014
9,0.9545422222222223,0.9373368052161749,0.9717476392282697,0.9902577777777777,0.9866131811705852,0.9939023743849702
10,0.9971555555555556,0.995126800589444,0.9991843105216671,0.9995822222222221,0.9990119171984639,1.0001525272459804
11,0.9955466666666666,0.9933301771703034,0.9977631561630298,0.9995466666666666,0.9989157683557265,1.0001775649776066
12,0.9917333333333334,0.988454346454328,0.9950123202123388,0.9997688888888888,0.99940408262278,1.0001336951549977
13,0.9979555555555555,0.9956171799288727,1.0002939311822383,0.9999288888888888,0.9998286402370533,1.0000291375407242
14,0.9976177777777778,0.9947400471948873,1.0004955083606684,0.9998933333333333,0.9997494282858037,1.000037238380863
15,0.9972711111111112,0.9942380402469007,1.0003041819753218,0.9999199999999998,0.999821281951815,1.0000187180481845
16,0.9952799999999999,0.9915936540745115,0.9989663459254884,0.99992,0.9998003616265628,1.0000396383734373
17,0.9893955555555556,0.9859435984075736,0.9928475127035375,0.99992,0.9997825902923372,1.0000574097076629
18,0.9849688888888888,0.9799178120738801,0.9900199657038975,0.9999022222222222,0.9997960716271955,1.0000083728172489
19,0.9785955555555554,0.9709873579195732,0.9862037531915376,0.9998311111111111,0.9996937014034483,0.999968520818774
20,0.9640622222222224,0.9526652299723268,0.9754592144721179,0.9997866666666667,0.9996438236635231,0.9999295096698103
21,0.9500533333333333,0.9368801944111473,0.9632264722555193,0.9997777777777778,0.9995947496178785,0.999960805937677
22,0.9341688888888889,0.9188794680689502,0.9494583097088277,0.9997244444444444,0.9995239471407734,0.9999249417481154
23,0.9191466666666667,0.9008498250253824,0.937443508307951,0.9997066666666667,0.9995054113364596,0.9999079219968738
24,0.9169600000000001,0.8982963239989091,0.9356236760010911,0.9996355555555556,0.9993373518768954,0.9999337592342158
25,0.8994311111111113,0.8784440771983858,0.9204181450238368,0.9996177777777777,0.9992609902110082,0.9999745653445472
26,0.89008,0.868029909068827,0.9121300909311729,0.9996888888888888,0.9994647260887319,0.9999130516890458
27,0.8337511111111111,0.8067936551365987,0.8607085670856235,0.9995644444444445,0.9990051934143429,1.000123695474546
