layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi
0,0.506,0.4597814771728562,0.5522185228271438
1,0.5066666666666666,0.47784270287202846,0.5354906304613047
2,0.5126666666666666,0.4849949185481211,0.5403384147852122
3,0.5206666666666667,0.5035015382138062,0.5378317951195273
4,0.48666666666666664,0.4444582069588891,0.5288751263744441
5,0.508,0.46834443199090364,0.5476555680090963
6,0.5106666666666667,0.47146729950144445,0.549866033831889
7,0.49000000000000005,0.4568889600478997,0.5231110399521004
8,0.49733333333333335,0.4755500811736123,0.5191165854930544
9,0.5046666666666667,0.47279460324167255,0.5365387300916609
10,0.508,0.4814014562413695,0.5345985437586305
11,0.5186666666666666,0.49805521051723445,0.5392781228160988
12,0.506,0.46304727851415023,0.5489527214858498
13,0.528,0.502553460285083,0.5534465397149171
14,0.5,0.46675987168328004,0.53324012831672
15,0.502,0.46138410965710797,0.542615890342892
16,0.496,0.4555108366129537,0.5364891633870463
17,0.4966666666666667,0.4650103218858336,0.5283230114474998
18,0.496,0.4574617150960322,0.5345382849039678
19,0.4886666666666667,0.45845000799404323,0.5188833253392902
20,0.48933333333333334,0.4748768470113042,0.5037898196553624
21,0.5133333333333334,0.502781218406389,0.5238854482602778
22,0.5153333333333332,0.49431043029391447,0.536356236372752
23,0.5113333333333333,0.4822726184261174,0.5403940482405492
24,0.5086666666666667,0.48607277893958106,0.5312605543937524
25,0.506,0.4842167478402789,0.5277832521597211
26,0.4946666666666667,0.4851382493633767,0.5041950839699567
27,0.4846666666666667,0.46188402137630213,0.5074493119570312
