layer,accuracy_row_level,accuracy_group_level,abs_diff
0,0.4166666666666667,0.48333333333333334,0.06666666666666665
1,0.5066666666666667,0.58,0.07333333333333325
2,0.6066666666666667,0.6966666666666667,0.08999999999999997
3,0.6533333333333333,0.7166666666666667,0.06333333333333335
4,0.6733333333333333,0.7433333333333333,0.06999999999999995
5,0.89,0.8833333333333333,0.00666666666666671
6,0.9133333333333333,0.9266666666666666,0.013333333333333308
7,0.95,0.9366666666666666,0.013333333333333308
8,0.94,0.9533333333333334,0.01333333333333342
9,0.9533333333333334,0.9566666666666667,0.0033333333333332993
10,1.0,0.9933333333333333,0.00666666666666671
11,1.0,0.99,0.010000000000000009
12,1.0,0.99,0.010000000000000009
13,1.0,0.9933333333333333,0.00666666666666671
14,1.0,0.9933333333333333,0.00666666666666671
15,1.0,0.9966666666666667,0.0033333333333332993
16,1.0,0.9966666666666667,0.0033333333333332993
17,1.0,0.9966666666666667,0.0033333333333332993
18,1.0,0.9966666666666667,0.0033333333333332993
19,1.0,0.9966666666666667,0.0033333333333332993
20,1.0,0.9966666666666667,0.0033333333333332993
21,1.0,0.9966666666666667,0.0033333333333332993
22,0.9966666666666667,0.9966666666666667,0.0
23,0.9966666666666667,0.9966666666666667,0.0
24,0.9966666666666667,1.0,0.0033333333333332993
25,0.9966666666666667,1.0,0.0033333333333332993
26,0.9933333333333333,1.0,0.00666666666666671
27,0.9933333333333333,1.0,0.00666666666666671
