layer,compression_factor,cities_std,compound_std,b1_i,b2_i,r2_i,b1_ii,b2_ii,r2_ii,or_only_threshold_displacement,b1_i_ci_lo,b1_i_ci_hi,b2_i_ci_lo,b2_i_ci_hi,b1_ii_ci_lo,b1_ii_ci_hi,b2_ii_ci_lo,b2_ii_ci_hi,compression_factor_ci_lo,compression_factor_ci_hi,or_only_majority_baseline,or_only_accuracy,or_only_accuracy_deficit
0,0.7376809,0.22839502,0.16848265,0.24373114109039307,0.6761236786842346,0.8963285684585571,0.33040183782577515,0.9165529012680054,0.8963285684585571,0.19584459,0.22757037356495857,0.2585650719702244,0.662687537074089,0.6889009431004525,0.3089890606701374,0.35227759927511215,0.888864578306675,0.9451609998941422,0.7108024105429649,0.7645763516426086,0.75,0.6625,0.08750000000000002
1,1.0983499,0.42894045,0.4711267,0.00911618396639824,0.07639160007238388,0.0050994157791137695,0.008299890905618668,0.0695512592792511,0.0050994157791137695,0.25800145,-0.03970330497249961,0.057206341531127664,0.013421993935480714,0.1374908123165369,-0.03669475829228759,0.0514742693863809,0.012219773512333632,0.12587491534650322,1.0650530457496643,1.1334388464689256,0.75,0.59,0.16000000000000003
2,1.1265564,0.80214596,0.9036626,0.18460187315940857,0.29495248198509216,0.09840279817581177,0.1638638824224472,0.2618177533149719,0.09840285778045654,-0.9609266,0.12867291904985906,0.23751195333898067,0.22939272038638592,0.3602140754461288,0.1140238894149661,0.20964560694992543,0.2069496985524893,0.3157429531216621,1.082113316655159,1.169131976366043,0.75,0.37125,0.37875
3,0.99097824,1.1109128,1.1008904,0.1119791567325592,0.18893517553806305,0.052038490772247314,0.11299857497215271,0.19065521657466888,0.05203843116760254,-0.07177428,0.057037921342998746,0.1694526094943285,0.13873504027724265,0.24537798166275024,0.05880269315093756,0.16958161033689972,0.14209293015301228,0.24382078461349008,0.9575742557644844,1.025228315591812,0.75,0.46875,0.28125
4,0.8665507,1.3502573,1.1700664,0.0699230432510376,0.13167865574359894,0.031537532806396484,0.08069123327732086,0.15195724368095398,0.031537652015686035,0.069920525,0.02206116681918502,0.11434708405286073,0.08627933114767075,0.1822258710861206,0.0256683049723506,0.13132325783371923,0.10018047112971544,0.2108838554471731,0.8358657151460648,0.8924503847956657,0.75,0.46375,0.28625
5,0.6767954,2.279376,1.5426713,0.3275976777076721,0.1897280365228653,0.30745214223861694,0.48404234647750854,0.2803329527378082,0.30745208263397217,-0.66662115,0.2978404887020588,0.35658300295472145,0.16036693789064885,0.22013989463448524,0.4471362642943859,0.5211770743131637,0.23869002796709538,0.325751031935215,0.6532178103923798,0.7001525208353996,0.75,0.325,0.425
6,0.6323703,2.6931465,1.7030659,0.1648191213607788,0.32076096534729004,0.318665087223053,0.2606370449066162,0.5072358846664429,0.318665087223053,-0.44131938,0.1397691536694765,0.19172986038029194,0.2936187028884888,0.3507669821381569,0.2233643602579832,0.2976033553481102,0.4695891909301281,0.5487969011068344,0.6073146641254425,0.6578853666782379,0.75,0.39,0.36
7,0.67650104,3.8351223,2.5944643,0.08866798132658005,0.3896234631538391,0.3498608469963074,0.13106848299503326,0.5759391188621521,0.3498608469963074,-1.0981207,0.06068138089030981,0.11558465361595154,0.36027388274669647,0.418087986856699,0.0900986323133111,0.16859998703002926,0.5370157584547997,0.6106920883059501,0.6473484739661217,0.7064134880900383,0.75,0.31625,0.43375
8,0.49025714,4.2149987,2.0664332,0.11972807347774506,0.242550790309906,0.3021395206451416,0.24421487748622894,0.4947420656681061,0.3021394610404968,-1.3824601,0.09749481994658708,0.1399038843810558,0.22197951264679433,0.26394436359405515,0.2002345196902752,0.28337639644742013,0.45695182383060456,0.5319342344999314,0.46900479048490523,0.5098542451858521,0.75,0.25375,0.49625
9,0.47091413,4.465731,2.1029758,0.12383287400007248,0.2166447788476944,0.27542728185653687,0.26296266913414,0.46005165576934814,0.27542728185653687,-1.4049283,0.10277189668267965,0.14354301169514655,0.19686067327857018,0.23755230493843554,0.22044724524021148,0.30228978022933006,0.4238340683281422,0.5002804234623909,0.4505124695599079,0.4910370402038097,0.75,0.26,0.49
