layer,and-FF,and-FT,and-TF,and-TT,or-FF,or-FT,or-TF,or-TT
0,0.5316422340879217,0.7532377517106943,0.6338599761005025,0.8587121401494369,0.4656425800966099,0.7315892594819888,0.5092298382957233,0.6891563213197515
1,0.6427810895070434,0.7860930072620976,0.63201148935339,0.9145253313961439,0.5041275319980923,0.6683896867773729,0.4723003812180832,0.5029326443688479
2,-1.0538395186699927,-0.6513091263826937,-0.8230090132262557,-0.4243023713678122,-1.3719992293138057,-1.0035701922886073,-1.2278810035437346,-0.9821781711303629
3,-0.7026788918231613,-0.3102911550691351,-0.4500387153809424,-0.1911545993783511,-0.6606664294004441,-0.38205364803230624,-0.5973338812519796,-0.3753574144700542
4,-0.9123437138705048,-0.5980156626715325,-0.6859242309583351,-0.4947899854500429,-0.5402498068474233,-0.3116455111606047,-0.4742020865611266,-0.2975725462916307
5,-1.0380300689535216,-0.6125673761859071,-0.3907283256901428,0.011625029342249037,-1.2707089830189944,-0.9448719836957753,-0.8283051782753319,-0.5199619589978829
6,-0.9098473379993811,-0.3142647794960067,-0.6646356630697846,-0.04055337235564366,-0.8437946128472685,-0.3264187030121684,-0.6516621459810995,-0.18448429739225503
7,-1.2929478065110742,-0.5443473380990327,-1.2070380970835686,-0.41160303918644786,-1.4058007264346815,-0.7131285639712587,-1.2435405819024892,-0.6928218371793627
8,-1.2769707016646863,-0.7959826503880322,-1.1377224936243147,-0.6118015650659799,-1.5769575119018555,-1.180985201112926,-1.3658099260833114,-1.0334238690463826
9,-1.340764511562884,-0.9252875177422538,-1.1990762568265199,-0.7612750169541687,-1.6858023111522198,-1.2755957935377955,-1.4403959239210236,-1.1293058625981212
10,-1.025988954603672,-0.613597061932087,-0.8267091128230095,-0.36460689403116703,-0.9482290256023407,-0.5896083341911436,-0.7287227379903197,-0.351818498702487
11,-0.708604345023632,-0.41045442463175275,-0.5795561899989843,-0.2331999780680053,-0.70506432056427,-0.44415143648162486,-0.5386023021675647,-0.27062648291350344
12,-0.6073781522922218,-0.2875545156467706,-0.46672628197818994,-0.09378884793666657,-0.6944400560110807,-0.40859821838093924,-0.5402780167013407,-0.2478085898264544
13,-0.5905454568564892,-0.23196898112189956,-0.5212188100069761,-0.10902051088574809,-0.6562366799265146,-0.39959602024406193,-0.5742407783120871,-0.28538506510667505
14,-0.1892826102138497,0.0458665032486897,-0.09090149274052237,0.17970038190600462,-0.22254772434476763,-0.08831244496162981,-0.15360029688745272,0.03001575884700287
15,-0.2278666057193186,0.0921934342541499,-0.07335495084465947,0.26011974790599196,-0.3594793923012912,-0.18832475742558016,-0.21708752845879645,0.0080781472531271
16,-0.08113306229672163,0.2227598355198279,0.10647841342899483,0.40878593765199184,-0.2847927804291248,-0.1567482502979692,-0.1373240282619372,0.03846372336241984
17,-0.17983491145081643,0.1292250160468393,0.028848546209628692,0.3453702374920249,-0.33499536007642744,-0.17389655067483545,-0.19972614708007314,-0.0020829858956858517
18,-0.21937940426287242,0.07298480884561286,0.013195837515231687,0.31595657240133734,-0.3290296109160408,-0.21691589242371265,-0.18176725168596022,-0.036085257148370145
19,-0.35307895774021747,-0.07773383124585961,-0.05446931143553229,0.22601875236723573,-0.5650840653479099,-0.4599213471822441,-0.3564340314990841,-0.20329382270923815
20,-0.2737778840461397,-0.011370577393099665,0.069525397020916,0.3503341306571383,-0.5024551356583834,-0.3911894443584606,-0.28447487207711675,-0.12983380958845372
21,-0.2260850615950767,0.007145100155867112,0.17503481627118161,0.41566489030141385,-0.39920795981539414,-0.32976688182447106,-0.19481036139157368,-0.07973241255385802
22,-0.35409010022412984,-0.14556545036874013,-0.00281884368203464,0.1772684326732997,-0.43515534555539487,-0.3735621701041236,-0.26192151625524274,-0.16034746499732136
23,-0.5742293048650027,-0.3732016448955983,-0.23414927585981787,-0.05403040773235261,-0.5168761119805276,-0.4531512015219778,-0.3813191755115986,-0.27406789126689546
24,-0.6628338328003883,-0.44343435775954276,-0.30291727111674843,-0.08639391658087334,-0.7744763344526291,-0.700571074448526,-0.5983197882003151,-0.47304402993991973
25,-0.6923667821288109,-0.48029224772937595,-0.32694097100174985,-0.11158290348830632,-0.8105562104284764,-0.7193479286879301,-0.6100223672157153,-0.4579723611660302
26,-0.7357657365500927,-0.5013701977774326,-0.33371334450785073,-0.10801467524957843,-0.878807727843523,-0.7909969960153103,-0.7120417053624988,-0.5707389129907824
27,-0.8660734911262989,-0.6089024622458965,-0.35731493412633425,-0.08679414122831076,-1.1201295828819275,-1.023999629765749,-0.9171171867568045,-0.775006070882082
