layer,and-FF,and-FT,and-TF,and-TT,or-FF,or-FT,or-TF,or-TT
0,-0.16272079142421714,0.058874726198555494,-0.06050304941163631,0.16434911463729807,-0.13326191970190843,0.1326847596834705,-0.08967466150279502,0.09025182152123312
1,-0.10107163987262535,0.0422402778824289,-0.11184124002627871,0.17067260201647516,-0.03281002909250674,0.13145212568677378,-0.06463717987251588,-0.03400491672175121
2,-0.31572451125830414,0.08680588102899489,-0.08489400581456719,0.3138126360438764,-0.22559208024467803,0.14283695678052033,-0.08147385447460698,0.1642289779387648
3,-0.28913805141026383,0.10324968534376239,-0.03649787496804491,0.2223862410345464,-0.156813586111748,0.12179919525638983,-0.09348103796328355,0.12849542881864184
4,-0.23957531563290102,0.07475273556607132,-0.013155832720731286,0.17797841278756094,-0.13433231913222698,0.09427197655459163,-0.0682845988459303,0.1083449414235656
5,-0.530604883581691,-0.1051421908140765,0.11669685968168775,0.5190502147140796,-0.37974695702199823,-0.053909957698779154,0.06265684772166424,0.37100006699911325
6,-0.42752204976917707,0.16806050873419737,-0.18231037483958057,0.4417719158745604,-0.34220467303907065,0.17517123679602947,-0.15007220617290162,0.31710564241594286
7,-0.42896373629104334,0.3196367321209982,-0.3430540268635377,0.452381031033583,-0.39197779906273356,0.3006943634006892,-0.22971765453054127,0.32100109019258516
8,-0.321351348978933,0.1596367022977211,-0.1821031409385614,0.34381778761977333,-0.2876633848657366,0.10830892592319286,-0.07651579904719252,0.2558702579897363
9,-0.28416368579142737,0.1313133080292027,-0.14247543105506333,0.29532580881728787,-0.3030273383499298,0.1071791792644945,-0.057620951118733554,0.25346911020416885
10,-0.31826344875618817,0.09412844391539688,-0.11898360697552568,0.3431186118163168,-0.29363437648076796,0.06498631493042917,-0.074128088868747,0.30277615041908573
11,-0.22565061059303837,0.0724993097988409,-0.09660245556839064,0.24975375636258834,-0.2154531850325293,0.045459699050115876,-0.048991166635823924,0.2189846526182373
12,-0.24351620282875958,0.07630743381669164,-0.10286433251472771,0.27007310152679564,-0.221658835781127,0.06418300184901449,-0.06749679647138696,0.22497263040349932
13,-0.22735701713871093,0.1312194585958787,-0.15803037028919786,0.25416792883203015,-0.17737204402917994,0.0792686156532727,-0.09537614241475245,0.19347957079065958
14,-0.17562830576393026,0.05952080769860913,-0.07724718829060293,0.19335468635592407,-0.11393654750805582,0.020298731875082007,-0.044989120050740905,0.13862693568371467
15,-0.24063951211835954,0.07942052785510896,-0.08612785724370041,0.24734684150695102,-0.17027600956815603,0.000878625307555031,-0.027884145725661252,0.1972815299862623
16,-0.24535584337274485,0.058537054443804665,-0.057744367647028394,0.2445631565759686,-0.14969244652247196,-0.021647916391316357,-0.0022236943552843558,0.1735640572690727
17,-0.26073713352523553,0.0483227939724202,-0.052053675864790414,0.2644680154176058,-0.157320099144672,0.0037787102569200037,-0.022050886148317683,0.1755922750360696
18,-0.2650688578876998,0.027295355220785487,-0.03249361610959568,0.27026711877651,-0.13808010787251984,-0.025966389380191662,0.009182251357560761,0.15486424589515085
19,-0.2882631207266241,-0.012917994232266194,0.010346525578061129,0.2908345893808292,-0.16890074866329086,-0.06373803049762505,0.039749285185534944,0.19288949397538088
20,-0.3074556506058434,-0.0450483439528034,0.035847630461212254,0.3166563640974346,-0.17546682023777982,-0.06420112893785701,0.042513443343486834,0.19715450583214986
21,-0.31902499787842314,-0.08579483612747935,0.08209487998783516,0.3227249540180674,-0.1483285559190699,-0.07888747792814682,0.05606904250475056,0.17114699134246622
22,-0.2727886098237286,-0.0642639599683389,0.07848264671836659,0.2585699230737009,-0.12740872132737424,-0.065815545876103,0.04582510797277789,0.14739915923069927
23,-0.2653266465268098,-0.06429898655740546,0.07475338247837499,0.25487225060584023,-0.11052251691027776,-0.046797606451727924,0.025034419558651266,0.13228570380335442
24,-0.2889389882360001,-0.06953951319515456,0.07097757344763977,0.2875009279835149,-0.13787352769228167,-0.06396826768817854,0.038283018560032356,0.1635587768204277
25,-0.28957105604175015,-0.07749652164231524,0.07585475508531087,0.29121282259875436,-0.16108149355393842,-0.06987321181339212,0.039452349658822605,0.19150235570850777
26,-0.3160497480288541,-0.08165420925619404,0.08600264401338786,0.3117013132716602,-0.14066139229049446,-0.05285066046228171,0.026104630190529776,0.16740742256224617
27,-0.38630223394458885,-0.1291312050641864,0.12245632305537585,0.39297711595339935,-0.1610664653102868,-0.06493651219410823,0.04194593081483622,0.1840570466895588
