layer,ft_minus_tf,ci_lo,ci_hi
0,0.17086859839822865,0.06598004553985803,0.2749037797237979
1,0.17508541173399872,0.018236204050399423,0.34324912498975757
2,0.19800534904934453,0.03591579115251077,0.3647307421424193
3,0.17751389676574042,0.035779825331865134,0.31348801720039043
4,0.12523257184366232,0.011309077359474042,0.23814207510426055
5,-0.16920292795810377,-0.25918113721720143,-0.08769479941688774
6,0.3378071632713545,0.2602527408629249,0.40663685672995054
7,0.5965513884578832,0.5189357226304709,0.6731075751008465
8,0.2632822841033341,0.2062221340012038,0.32001781314919925
9,0.2192944347337471,0.16359134775673728,0.27713225816068
10,0.1761132273450493,0.14663607068965218,0.2050064959228038
11,0.1317763155265857,0.10813334169099106,0.15747242439569706
12,0.15542578232591042,0.12913473340767082,0.18015734434907787
13,0.23194729347655085,0.2109359651272389,0.2544394724370067
14,0.10102792395751749,0.0848519395766707,0.1187904989615363
15,0.09715557806601283,0.07373006827145583,0.12220710045385932
16,0.048428600027400535,0.02160116313832259,0.07716015303015955
17,0.06310303312122414,0.03701324643484076,0.08839493448510075
18,0.01232016529631437,-0.013810341166654772,0.03628493974224692
19,-0.06337591774674367,-0.09665833117303918,-0.03191216653749508
20,-0.09380527334767974,-0.1301910387184871,-0.0585186947447801
21,-0.15142311827410596,-0.18606177946508343,-0.1182099457472459
22,-0.12719363026779318,-0.15921852610628956,-0.09467581984314169
23,-0.10544219752307982,-0.13743079563998617,-0.07103388925307082
24,-0.12138418644550253,-0.15958510153691174,-0.08218886928507707
25,-0.13133841909992044,-0.16994486822368343,-0.09275463749644412
26,-0.1233060719611968,-0.16450572044719952,-0.07970541961206981
27,-0.17923498556425332,-0.23072114393326043,-0.12540872370074796
