layer,and,or,and_ci_lo,and_ci_hi,or_ci_lo,or_ci_hi,and_or_overlap
0,0.49502148261609075,0.6924270872354866,0.0676818176137895,0.8477374841962182,0.25673100216353817,1.4149024947432196,True
1,0.24387327709319365,,-0.6184813598207658,0.8896052966698494,-0.9225864691135025,2.1394263476234188,True
2,0.5030369537724991,0.6574135132459591,0.26304828676703773,0.7415890931786896,0.22769390509435936,1.2658360958714634,True
3,0.6304958754875155,0.5992543376171108,0.39275630079229257,0.9322833025935995,0.03012702022741201,1.293308787411185,True
4,0.6475185075663225,0.607086167237687,0.4058388238123266,0.9535122151382432,0.06411626296113142,1.3080186958614735,True
5,0.5110080624448656,0.5116509153456719,0.4342186210266829,0.5957747919126543,0.404641293867135,0.6199159950953547,True
6,0.4836075405230372,0.5380686150887933,0.39273659143786843,0.5730733746494107,0.42170199259595087,0.6617420892394285,True
7,0.4734300405349609,0.5995495237513705,0.3825698269927646,0.5626241584490577,0.48399646240234284,0.7184716514295502,True
8,0.46622447223615826,0.5584933928081692,0.38497862210457234,0.5481619497610138,0.4656369006016298,0.6575692154381302,True
9,0.4807380062456567,0.5890539881692402,0.397473470324934,0.5716647308694323,0.48909013038667304,0.6977728356891719,True
10,0.46241935706781406,0.484672011096389,0.4193113763766824,0.5040738139402313,0.4342816664533437,0.5371588750993813,True
11,0.44929969633240746,0.4918711786137125,0.396979706091926,0.4985100630860423,0.4348833315429578,0.546974971345425,True
12,0.44829156590135893,0.4925804721044832,0.3991114182602479,0.49412662292054754,0.4312754876452894,0.5493360991296117,True
13,0.44432082508359116,0.4565661139987087,0.39818680656328675,0.4865293038424886,0.40058090627715587,0.5141749686034276,True
14,0.4519588139004634,0.4022408629163878,0.40549116730770957,0.4940356194840821,0.34960498983416055,0.45789321924125886,True
15,0.4862550882032625,0.4265270943677433,0.4459196378413759,0.5267982480422888,0.38673913337964244,0.4664784632394352,True
16,0.5016179956214378,0.42615272866406245,0.4647358492982937,0.5355888230383362,0.37986589172368446,0.4748445595640269,True
17,0.4928963341279499,0.4451141582334891,0.45699471051622115,0.5261332288580274,0.3992760457224934,0.49254815979105665,True
18,0.49028972250062164,0.44270537115065145,0.4541072297785031,0.5273090928161349,0.3846550640726556,0.5014814450309559,True
19,0.4955595254318516,0.43369432758293536,0.4576146626863252,0.5351279645339619,0.3838358718580337,0.48653207074074056,True
20,0.4852579132033447,0.4417969824134542,0.4449332095547734,0.5289096261847911,0.3813854760752195,0.5041498547054536,True
21,0.49423458291082045,0.42857533035316736,0.45557875562614913,0.5319298695041099,0.35947964286530126,0.5021461593648344,True
22,0.5267591200097889,0.4272566788742414,0.47614969071208085,0.5755613475208232,0.3361984553212923,0.5134812045299457,True
23,0.5200969205790217,0.41036882182525386,0.46277919984962007,0.5771480496012368,0.28027652250904034,0.533156318191696,True
24,0.5024947270513751,0.41478932833802135,0.45196955297507496,0.5557472319793545,0.31620182857967044,0.5129257188574811,True
25,0.4971731884830424,0.41372020522719494,0.4417072015365565,0.5550909401022562,0.3266888851324879,0.49409954829925534,True
26,0.506927005026778,0.4131816367569154,0.4545665785565421,0.5627858848041954,0.3099021307912575,0.5137332547347324,True
27,0.49143454525044933,0.4333844824247084,0.44355378616398583,0.5390445287866193,0.32948698503415796,0.540657672831238,True
