layer,and,or
0,0.3270699060615152,0.22351374122314155
1,0.2717442418891005,-0.0011948876292444677
2,0.6295371473021805,0.3898210581834428
3,0.5115242924448102,0.28530901493038985
4,0.41755372842046196,0.24267726055579258
5,1.0496550982957706,0.7507470240211115
6,0.8692939656437375,0.6593103154550135
7,0.8813447673246264,0.7129788892553187
8,0.6651691365987064,0.5435336428554729
9,0.5794894946087152,0.5564964485540986
10,0.6613820605725049,0.5964105268998536
11,0.4754043669556267,0.4344378376507666
12,0.5135893043555553,0.44663146618462635
13,0.4815249459707411,0.3708516148198395
14,0.3689829921198543,0.2525634831917705
15,0.48798635362531056,0.36755753955441833
16,0.48991899994871346,0.32325650379154464
17,0.5252051489428413,0.3329123741807416
18,0.5353359766642097,0.2929443537676707
19,0.5790977101074533,0.36179024263867177
20,0.6241120147032779,0.3726213260699297
21,0.6417499518964905,0.31947554726153615
22,0.5313585328974295,0.2748078805580735
23,0.5201988971326501,0.24280822071363217
24,0.576439916219515,0.30143230451270936
25,0.5807838786405045,0.3525838492624462
26,0.6277510613005143,0.3080688148527406
27,0.7792793498979882,0.3451235119998456
