layer,b1,b1_ci_lo,b1_ci_hi,b2,b2_ci_lo,b2_ci_hi,intercept,r2,r2_ci_lo,r2_ci_hi
0,0.24373114,0.22757037356495857,0.2585650719702244,0.6761237,0.662687537074089,0.6889009431004525,0.06451141,0.8963285684585571,0.8854434728622437,0.9060646742582321
1,0.009116184,-0.03970330497249961,0.057206341531127664,0.0763916,0.013421993935480714,0.1374908123165369,0.28583822,0.0050994157791137695,0.00048568993806838987,0.01678837239742279
2,0.18460187,0.12867291904985906,0.23751195333898067,0.29495248,0.22939272038638592,0.3602140754461288,-0.8419307,0.09840279817581177,0.06948785781860352,0.1326509356498718
3,0.11197916,0.057037921342998746,0.1694526094943285,0.18893518,0.13873504027724265,0.24537798166275024,-0.19414195,0.052038490772247314,0.031084027886390687,0.08136562705039976
4,0.06992304,0.02206116681918502,0.11434708405286073,0.13167866,0.08627933114767075,0.1822258710861206,-0.1834033,0.031537532806396484,0.015712337195873262,0.05625078231096267
5,0.32759768,0.2978404887020588,0.35658300295472145,0.18972804,0.16036693789064885,0.22013989463448524,-0.55790854,0.30745214223861694,0.2718611925840378,0.34584475010633464
6,0.16481912,0.1397691536694765,0.19172986038029194,0.32076097,0.2936187028884888,0.3507669821381569,-0.46697718,0.318665087223053,0.2785945996642113,0.363526751101017
7,0.08866798,0.06068138089030981,0.11558465361595154,0.38962346,0.36027388274669647,0.418087986856699,-0.973111,0.3498608469963074,0.3065412133932114,0.3947746217250824
8,0.11972807,0.09749481994658708,0.1399038843810558,0.24255079,0.22197951264679433,0.26394436359405515,-1.1746155,0.3021395206451416,0.2627026543021202,0.34394236057996747
9,0.123832874,0.10277189668267965,0.14354301169514655,0.21664478,0.19686067327857018,0.23755230493843554,-1.1869702,0.27542728185653687,0.23769614845514297,0.3151368677616119
10,0.11952226,0.10862409509718418,0.12977787107229233,0.21210234,0.20165031217038631,0.222316974401474,-0.66442055,0.5832796096801758,0.551933941245079,0.6125125467777253
11,0.0863084,0.0783481264486909,0.09528898987919092,0.15518557,0.1470994882285595,0.16387467198073863,-0.45483392,0.5146234631538391,0.4814799532294273,0.5438345298171043
12,0.08289246,0.0728355273604393,0.09202841483056545,0.1649073,0.15540492087602614,0.1742917478084564,-0.41651896,0.47858214378356934,0.44390647411346434,0.5135792553424835
13,0.05034205,0.042866650223732,0.0577596815302968,0.16854475,0.16128322593867778,0.17644363157451154,-0.42998394,0.5417527556419373,0.5150742545723915,0.5711252436041832
14,0.055372264,0.04954312583431601,0.06097773648798466,0.10388925,0.09821989834308624,0.10984984729439021,-0.072955236,0.5024506449699402,0.47301356345415113,0.5335362538695335
15,0.08820927,0.08065187148749828,0.09510228279978036,0.13556865,0.12757586501538754,0.1427548598498106,-0.081517436,0.5212253332138062,0.4918613836169243,0.5498714193701744
16,0.095469706,0.08621613662689924,0.10439177025109529,0.11759006,0.10832436960190535,0.12630014978349208,0.014783988,0.39292824268341064,0.3601714462041855,0.42710330337285995
17,0.10038016,0.0920051360502839,0.10898968540132045,0.12824933,0.11957587786018849,0.13647923655807973,-0.053106524,0.4568006992340088,0.42656389772892,0.48886806070804595
18,0.10644109,0.09783501364290714,0.11552402172237634,0.107175425,0.09880278632044792,0.11595856230705977,-0.076827385,0.41941767930984497,0.3863573044538498,0.45315723568201066
19,0.14150897,0.13063728921115397,0.15207093618810177,0.10327416,0.09256381578743458,0.11406190153211355,-0.2564517,0.3847564458847046,0.35238393396139145,0.4174077048897743
20,0.15606692,0.14306445196270942,0.1686388574540615,0.10398603,0.09224181193858386,0.11658647786825896,-0.16424751,0.33698368072509766,0.30490420907735827,0.36934387534856794
21,0.1656115,0.15341749414801598,0.17777054347097873,0.08654528,0.07327300515025854,0.0986128743737936,-0.12977713,0.32792818546295166,0.29630578458309176,0.36099583506584165
22,0.13817051,0.1267621424049139,0.14892168082296847,0.07088342,0.06059642033651471,0.08196275345981122,-0.25574467,0.3103595972061157,0.27723570317029955,0.3472091108560562
23,0.124931075,0.11470493208616972,0.13622023165225983,0.070951626,0.059999582916498186,0.08171211574226618,-0.40801656,0.28708523511886597,0.25444407016038895,0.32268650978803637
24,0.14889948,0.13592919819056987,0.16120461896061897,0.08649231,0.07426561303436756,0.09896761644631624,-0.5788929,0.30622291564941406,0.2732979983091354,0.34190880954265596
25,0.15521228,0.14368047825992109,0.16743754632771013,0.090877384,0.07839803583920002,0.10271350778639317,-0.5843711,0.32457274198532104,0.29347067028284074,0.35842895954847337
26,0.15435727,0.14016703590750695,0.16783677674829958,0.094730124,0.08135257195681334,0.10851900465786457,-0.615703,0.28055328130722046,0.24775672554969788,0.31475216448307036
27,0.19445698,0.17746468782424926,0.21217605993151664,0.10715178,0.08957829736173153,0.12411040142178535,-0.7362162,0.2709980607032776,0.23801621198654174,0.3045483037829399
