layer,connective,b1,b1_ci_lo,b1_ci_hi,b2,b2_ci_lo,b2_ci_hi,intercept,r2,r2_ci_lo,r2_ci_hi,b2_over_b1
0,and,0.24447529,0.22266549281775952,0.26595086306333543,0.6812049,0.6624934241175652,0.6985609114170075,0.10632949,0.9080314636230469,0.8953455656766891,0.919740280508995,2.7863958
1,and,0.047733508,-0.02079876288771629,0.11606006510555744,0.08910941,0.0045720408495981265,0.17154360115528106,0.39807385,0.00948333740234375,0.001466362178325653,0.029324027895927415,1.8668104
2,and,0.22022818,0.15228770226240157,0.2950297027826309,0.3130606,0.23550442159175872,0.39311612471938134,-0.6458531,0.13994938135147095,0.09557908028364182,0.19186852127313614,1.4215283
3,and,0.14248079,0.07629106976091862,0.22269065231084822,0.2188607,0.1518829870969057,0.2872227855026722,-0.24160135,0.08788526058197021,0.04901877194643021,0.1395293205976486,1.5360717
4,and,0.10990429,0.0455780073069036,0.17457160279154774,0.16497086,0.11093541756272315,0.23688687980175016,-0.34878606,0.06692558526992798,0.03539193272590637,0.11506150364875792,1.5010412
5,and,0.37753782,0.3383411131799221,0.4169705092906952,0.2342283,0.19162267744541167,0.2771459475159645,-0.4117879,0.40788042545318604,0.35954347550868987,0.46495457887649533,0.62041014
6,and,0.18263648,0.14235607013106347,0.22232637368142605,0.3595401,0.31918860971927643,0.3981669619679451,-0.50091237,0.3750857710838318,0.31804058849811556,0.4291939288377762,1.9686105
7,and,0.088902466,0.04959166934713721,0.13202015981078144,0.41822746,0.3780281350016594,0.45650385841727253,-0.90543675,0.39161282777786255,0.33035614192485807,0.45374534130096433,4.7043405
8,and,0.10983089,0.08068216908723116,0.1388112735003233,0.2761202,0.24741214700043201,0.30649212226271627,-1.0357713,0.355623722076416,0.298739655315876,0.4188995063304901,2.5140483
9,and,0.10625401,0.07919450383633375,0.13313316702842712,0.23063508,0.20520061142742635,0.25772479474544524,-1.0350168,0.32199984788894653,0.2671754464507103,0.3809805601835251,2.1706011
10,and,0.11809051,0.1048763720318675,0.1309742234647274,0.22962709,0.21628741808235646,0.24224008843302727,-0.6896287,0.6472357511520386,0.6119874268770218,0.6828412190079689,1.9445008
11,and,0.08283566,0.07134316693991423,0.09401612635701895,0.1698013,0.15866040289402009,0.181442104652524,-0.43590304,0.5588686466217041,0.5194588467478752,0.6012495085597038,2.0498574
12,and,0.08533741,0.07351963929831981,0.09822619706392288,0.17954777,0.16754037514328957,0.19158962406218052,-0.35285217,0.5615749359130859,0.5163143649697304,0.6044507145881652,2.103975
13,and,0.051131856,0.041431101784110066,0.06125600719824433,0.19693373,0.18713313415646554,0.20693276673555375,-0.37118462,0.6523022651672363,0.6210024610161782,0.6851209655404091,3.851488
14,and,0.06068284,0.05296547468751669,0.06846651639789343,0.12913515,0.12104038838297129,0.13667882606387138,-0.03284716,0.6181780099868774,0.5798910468816757,0.6542990207672119,2.1280339
15,and,0.08646675,0.07720260955393314,0.09554013907909394,0.17078848,0.1610192470252514,0.17981679253280164,0.010952245,0.6853024959564209,0.6533773615956306,0.7140510380268097,1.9751925
16,and,0.1012638,0.09367230609059334,0.10893548112362623,0.15678051,0.1486995667219162,0.16495841071009637,0.1582877,0.7312737703323364,0.7064068913459778,0.7592543512582779,1.5482385
17,and,0.1160273,0.10891422405838966,0.12387979868799448,0.16110727,0.15318790264427662,0.16883658803999424,0.07623694,0.7591264247894287,0.7311779990792274,0.7841584220528602,1.388529
18,and,0.12559848,0.11635907460004091,0.13451796025037766,0.1478077,0.13823763877153397,0.15746703781187535,0.037954357,0.689173698425293,0.6571449622511863,0.7215474903583526,1.1768272
19,and,0.16062953,0.1510619565844536,0.17041916958987713,0.13951488,0.13028743155300618,0.14917954690754415,-0.093099155,0.6958217024803162,0.6657583802938462,0.725358372926712,0.86855066
20,and,0.18671691,0.17513430975377559,0.19900509864091873,0.13762875,0.12461109142750501,0.149741093441844,0.02318576,0.6276212930679321,0.5916672438383103,0.6636534228920936,0.73709846
21,and,0.20941521,0.19839886836707593,0.22066380754113196,0.120026425,0.1085205078125,0.1306724488735199,0.066091835,0.6790112257003784,0.646014216542244,0.7114725217223168,0.57315046
22,and,0.17211393,0.16016767136752605,0.18493998572230338,0.09867449,0.08663643747568131,0.11014472488313913,-0.1233347,0.5457247495651245,0.5035557463765145,0.5904234617948532,0.5733092
23,and,0.16815527,0.15495176166296004,0.18326192833483218,0.09871827,0.08435398694127798,0.11247208826243876,-0.34656844,0.4695529341697693,0.4265171393752098,0.517427571117878,0.5870662
24,and,0.18926626,0.17512677051126957,0.20330163538455961,0.11785267,0.10457604192197323,0.13108579479157925,-0.43908656,0.537886917591095,0.49167903810739516,0.5788058251142502,0.62268186
25,and,0.19440433,0.1784705862402916,0.21039639189839363,0.11411546,0.09794257376343012,0.12948071174323558,-0.45679775,0.4876142740249634,0.4403680399060249,0.5316454127430916,0.5870006
26,and,0.21311657,0.19718894250690938,0.22890417724847795,0.123065956,0.10791623834520578,0.13832611367106437,-0.4568047,0.5238938331604004,0.4830207943916321,0.5669331133365632,0.5774584
27,and,0.2752045,0.25825499594211576,0.2924358263611794,0.14268953,0.1267299320548773,0.1602800652384758,-0.4938924,0.6044363975524902,0.5671758502721786,0.6442283481359482,0.5184854
