direction,layer,pattern,mean_z_mean,mean_z_ci_lo,mean_z_ci_hi
and->or,0,TT,-0.09671543464064598,-0.13377377378763,-0.05965709549366197
and->or,1,TT,0.19643740057945253,0.12093573149222475,0.2719390696666803
and->or,2,TT,0.28990293443202975,0.14780722263855198,0.43199864622550754
and->or,3,TT,-0.03625894971191883,-0.22365613665402362,0.15113823723018593
and->or,4,TT,0.07145976442843675,-0.056277658107897935,0.19919718696477146
and->or,5,TT,-0.4314944427460432,-0.768424681256424,-0.09456420423566236
and->or,6,TT,0.11923921667039394,-0.058235276839143285,0.2967137101799312
and->or,7,TT,0.5332706928253174,0.396397772307015,0.6701436133436197
and->or,8,TT,-0.6396143078804016,-0.7763609705266366,-0.5028676452341667
and->or,9,TT,-0.05531353577971458,-0.20241384426276726,0.09178677270333808
and->or,10,TT,1.202417826652527,1.076643404249697,1.3281922490553568
and->or,11,TT,0.8329825401306152,0.6706030292167061,0.9953620510445244
and->or,12,TT,0.5064416587352752,0.35592925265166053,0.65695406481889
and->or,13,TT,0.3347069829702377,0.19961963549190423,0.4697943304485712
and->or,14,TT,0.10544158667325973,-0.028656852430850088,0.23954002577736955
and->or,15,TT,0.17500050514936447,0.11717950397166993,0.232821506327059
and->or,16,TT,0.038853288441896436,-0.00880161549604077,0.08650819237983365
and->or,17,TT,-0.24079351723194123,-0.29241754315421975,-0.18916949130966268
and->or,18,TT,-0.3382996529340744,-0.4372404711929997,-0.2393588346751491
and->or,19,TT,-0.1428461879491806,-0.20053631446154874,-0.08515606143681247
and->or,20,TT,-0.4374584674835205,-0.5423404894503704,-0.3325764455166706
and->or,21,TT,-0.5417730987071991,-0.7032202347650222,-0.3803259626493761
and->or,22,TT,-0.7263412952423096,-0.9311102821182434,-0.5215723083663758
and->or,23,TT,-0.6867803037166595,-0.8791308984227816,-0.4944297090105375
and->or,24,TT,-0.8528816342353821,-0.9868948920753952,-0.718868376395369
and->or,25,TT,-0.8671676039695739,-0.9959954897676253,-0.7383397181715226
and->or,26,TT,-0.7530923366546631,-0.8519137061917461,-0.6542709671175801
and->or,27,TT,-0.8913123369216919,-0.9934818273581021,-0.7891428464852817
and->or,0,TF,-0.13734815269708633,-0.18567841061589474,-0.08901789477827793
and->or,1,TF,0.12075560092926026,0.036611770463301524,0.204899431395219
and->or,2,TF,0.1677141346037388,0.025588985697175937,0.30983928351030166
and->or,3,TF,-0.1598695397377014,-0.3539118794263264,0.034172799950923566
and->or,4,TF,-0.034390165098011495,-0.17348979400734083,0.10470946381131785
and->or,5,TF,-0.7810176730155944,-1.0777098674079748,-0.484325478623214
and->or,6,TF,-0.3050915628671646,-0.4498493718840125,-0.16033375385031665
and->or,7,TF,-0.17885551899671553,-0.3073341226076933,-0.05037691538573777
and->or,8,TF,-1.2503984689712524,-1.3855731641321036,-1.1152237738104012
and->or,9,TF,-0.650694751739502,-0.8063159693032899,-0.4950735341757141
and->or,10,TF,0.18023933917284013,0.06361232402672135,0.2968663543189589
and->or,11,TF,-0.1452146552503109,-0.29639133460703354,0.005962024106411723
and->or,12,TF,-0.48085665702819824,-0.616064171666889,-0.3456491423895075
and->or,13,TF,-0.7137495279312134,-0.8316315041076249,-0.5958675517548019
and->or,14,TF,-0.926114821434021,-1.0483400732035724,-0.8038895696644697
and->or,15,TF,-0.7788305521011353,-0.8316300984919505,-0.7260310057103201
and->or,16,TF,-0.8107718110084534,-0.852465880141314,-0.7690777418755929
and->or,17,TF,-1.0792412757873535,-1.1199332368280948,-1.0385493147466123
and->or,18,TF,-1.1022159814834596,-1.1942926550339656,-1.0101393079329535
and->or,19,TF,-0.8043287992477417,-0.8631616608509416,-0.7454959376445418
and->or,20,TF,-1.1343387007713317,-1.2451125577149809,-1.0235648438276825
and->or,21,TF,-1.221196460723877,-1.3922730743286809,-1.0501198471190731
and->or,22,TF,-1.358072328567505,-1.5852293104891844,-1.1309153466458255
and->or,23,TF,-1.3273999452590943,-1.5442175620997847,-1.110582328418404
and->or,24,TF,-1.5158138751983643,-1.6578498443653897,-1.3737779060313389
and->or,25,TF,-1.5688980340957641,-1.7037846293478682,-1.43401143884366
and->or,26,TF,-1.3602286338806153,-1.4751429487933843,-1.2453143189678464
and->or,27,TF,-1.4994772911071776,-1.6109167260250643,-1.388037856189291
and->or,0,FT,-0.02430460831383243,-0.06440224812546338,0.015793031497798524
and->or,1,FT,0.27795611023902894,0.20944175960249006,0.3464704608755678
and->or,2,FT,0.351442950963974,0.21734053890677887,0.48554536302116913
and->or,3,FT,-0.043396832048892976,-0.21359862084736694,0.126804956749581
and->or,4,FT,0.017741703428328037,-0.09341082739894947,0.12889423425560553
and->or,5,FT,-0.9149006843566895,-1.2334784178265892,-0.5963229508867897
and->or,6,FT,-0.18772949427366256,-0.33557409686133843,-0.03988489168598666
and->or,7,FT,0.07247334569692612,-0.06842934452500071,0.21337603591885296
and->or,8,FT,-1.4232746601104735,-1.5911131721031104,-1.2554361481178367
and->or,9,FT,-0.7922204494476318,-0.9610074616213723,-0.6234334372738913
and->or,10,FT,0.23370713889598846,0.10663112068017741,0.36078315711179954
and->or,11,FT,-0.0905021920800209,-0.25492501152853614,0.07392062736849435
and->or,12,FT,-0.31979036033153535,-0.4701580513347539,-0.1694226693283168
and->or,13,FT,-0.4888602316379547,-0.6221949412211418,-0.35552552205476756
and->or,14,FT,-0.7444724202156067,-0.8802825885913692,-0.6086622518398441
and->or,15,FT,-0.7587845206260682,-0.8128678976080638,-0.7047011436440725
and->or,16,FT,-0.8793808698654175,-0.9342222948920863,-0.8245394448387487
and->or,17,FT,-1.0827391624450684,-1.1371959054185459,-1.028282419471591
and->or,18,FT,-1.1620532989501953,-1.272103380073327,-1.0520032178270635
and->or,19,FT,-0.8681679487228393,-0.9239106761359345,-0.8124252213097441
and->or,20,FT,-1.1644382238388062,-1.300030499260349,-1.0288459484172634
and->or,21,FT,-1.1818676829338073,-1.394930359055981,-0.9688050068116336
and->or,22,FT,-1.2208174824714662,-1.4828208254323885,-0.9588141395105437
and->or,23,FT,-1.2061519026756287,-1.42716826965328,-0.9851355356979774
and->or,24,FT,-1.3964807271957398,-1.5367189329869209,-1.2562425214045587
and->or,25,FT,-1.4428064346313476,-1.5738278046764589,-1.3117850645862363
and->or,26,FT,-1.2159672498703002,-1.331184759432456,-1.1007497403081445
and->or,27,FT,-1.3481682538986206,-1.472106941583974,-1.2242295662132672
and->or,0,FF,-0.23052323758602142,-0.26341703251785054,-0.19762944265419233
and->or,1,FF,-0.05473279003053903,-0.09924592888983685,-0.010219651171241219
and->or,2,FF,-0.004680848866701126,-0.1647426936883811,0.15538099595497887
and->or,3,FF,-0.4290390908718109,-0.6286016619407926,-0.2294765198028292
and->or,4,FF,-0.34613182246685026,-0.4588918496629175,-0.233371795270783
and->or,5,FF,-1.3859581708908082,-1.7063730061204065,-1.0655433356612098
and->or,6,FF,-0.7490720629692078,-0.8996753001072693,-0.5984688258311464
and->or,7,FF,-0.7209004998207093,-0.8369315141378386,-0.6048694855035799
and->or,8,FF,-1.9672625303268432,-2.11138690727191,-1.8231381533817763
and->or,9,FF,-1.410949444770813,-1.5663276382244993,-1.2555712513171269
and->or,10,FF,-0.6571917176246643,-0.7700745105323409,-0.5443089247169878
and->or,11,FF,-0.925027322769165,-1.0668208173638951,-0.7832338281744348
and->or,12,FF,-1.1585403442382813,-1.2909684848396425,-1.0261122036369201
and->or,13,FF,-1.3093101024627685,-1.4295810916884844,-1.1890391132370526
and->or,14,FF,-1.5121706485748292,-1.6372005094865598,-1.3871407876630986
and->or,15,FF,-1.4652100086212159,-1.5204383240732908,-1.409981693169141
and->or,16,FF,-1.4945032596588135,-1.5448382006611165,-1.4441683186565104
and->or,17,FF,-1.684479784965515,-1.7352036886303253,-1.633755881300705
and->or,18,FF,-1.7114046812057495,-1.8185556367884956,-1.6042537256230034
and->or,19,FF,-1.3842986345291137,-1.43892167097385,-1.3296755980843775
and->or,20,FF,-1.6943997621536255,-1.8203610008803417,-1.5684385234269094
and->or,21,FF,-1.7155855655670167,-1.9123724323561804,-1.518798698777853
and->or,22,FF,-1.7172610998153686,-1.9682814265110904,-1.4662407731196467
and->or,23,FF,-1.695872187614441,-1.9096667341929874,-1.4820776410358945
and->or,24,FF,-1.9222248792648315,-2.0565927012958793,-1.7878570572337837
and->or,25,FF,-1.9892213582992553,-2.116768244161189,-1.8616744724373215
and->or,26,FF,-1.6899969339370728,-1.8119618977847767,-1.568031970089369
and->or,27,FF,-1.8737747430801392,-2.008451010939604,-1.7390984752206746
or->and,0,TT,0.20345969647169113,0.1359867140746684,0.27093267886871386
or->and,1,TT,0.4723469138145447,0.38328722996843506,0.5614065976606544
or->and,2,TT,1.0874667763710022,0.8245104217440495,1.3504231309979549
or->and,3,TT,1.5503835201263427,1.2167731404029865,1.883993899849699
or->and,4,TT,1.1998122453689575,0.7717301218749171,1.6278943688629979
or->and,5,TT,3.1576019287109376,2.8692595335923263,3.445944323829549
