resample,b2_minus_b1_crossover_layer,ft_minus_tf_crossover_layer
0,18.08055697184841,18.24045519293137
1,17.612747709929096,18.49954750749423
2,18.269438051608002,18.038525308965106
3,18.147010909397707,17.767912090164003
4,17.772634870693,18.094071072402386
5,17.967044562600698,18.59362996951319
6,17.70623053581897,18.440708440698558
7,18.035625827920548,18.054022305470514
8,17.86278883102297,18.152659865881198
9,17.76515243286531,18.276370453041103
10,17.83406934259544,18.174657339743245
11,18.151868256273378,18.304109639212236
12,18.023539447053345,18.249254123166725
13,17.324525742611822,17.98928887986853
14,17.75088581492935,18.147468447975122
15,17.974484689251238,17.947483798440494
16,18.122695262105776,18.30555559831043
17,18.125806464923738,18.224881995973323
18,17.73760258793781,18.13046046175516
19,17.882355651561188,18.501836193311053
20,17.919238370703226,18.254178878430842
21,18.040841391183736,18.351179588843447
22,18.060485208391906,17.938974964417753
23,17.606216303121883,18.222185331156147
24,18.074551324908406,18.195046477507383
25,18.215487576123962,18.527076250756245
26,18.241695085570015,18.398135027865624
27,17.800011336711734,18.347766639351544
28,17.778081244892196,18.258318156944647
29,17.72875178604005,18.31905290856698
30,17.917978208066767,18.15953413608947
31,18.007611628444582,17.862408578382972
32,17.89684557823461,18.182638118717406
33,18.247099079029308,18.08593431977369
34,18.317262046367677,18.25268388812584
35,18.16595627769656,18.073056267818384
36,18.376464918538765,18.353045378132144
37,18.10171607481294,18.07958491892957
38,17.727375252116772,17.973570420108732
39,18.21888589274458,18.170276915263372
40,18.14656855336393,17.916673560706897
41,17.900153506377766,18.333561902150713
42,17.998550702247275,18.140688972664496
43,18.300169805183113,18.0293460197002
44,18.041341116432402,17.966292780955833
45,18.125059112897315,18.012496876193314
46,18.092695544023456,17.89376614031732
47,17.868511690768674,17.786741176777113
48,18.222228267958265,18.08076086707692
49,17.82616810934302,18.188805503542635
50,17.94621706045923,18.380456567056605
51,18.265474906995653,18.160619817796043
52,17.976467131257895,18.157253849481112
53,17.8325114314264,18.06555486714694
54,18.000449634112357,18.219160502784447
55,17.994430801169592,18.207991818816375
56,17.98766923037958,17.749948464567353
57,18.175092965363586,18.283850133661975
58,17.937447032369136,18.220083655698623
59,18.082225132781815,18.006993640876598
60,17.967496670340815,18.269906250398872
61,17.834059573690393,18.267747924033685
62,17.878948057220263,18.440082429434344
63,17.741926635745255,18.431103364756794
64,18.226811172532276,18.163960704183836
65,18.1187895568708,18.253687219898897
66,18.004001615681425,18.231090990961242
67,18.169265210389426,18.05951829476273
68,18.11493813011548,18.127100157383182
69,18.10863181893273,18.01411176802538
70,17.920055693556105,18.014420480046823
71,17.89776363430229,18.346225595317694
72,18.567880754436402,18.186322134291206
73,17.86758991092635,18.86376659556267
74,18.198698604817213,18.308199587113524
75,18.027688968301767,18.34728007270417
76,17.846564615799526,18.088405332189843
77,18.213548500073806,17.931763538728834
78,18.00166488035176,18.098194786688577
79,17.829456737196306,18.1382181978028
80,18.045422253833692,17.95938348113994
81,17.729338398982474,18.17089302115499
82,18.165068503568673,18.45808822821757
83,17.925951582061522,18.017193661850897
84,18.14001042907394,18.000294336747963
85,17.79694934367722,18.326354394548535
86,18.03618965921718,18.426315821443943
87,18.19574897745288,17.83427842722817
88,17.821993469905966,18.001587362692998
89,17.974284567894543,18.166347569377304
90,18.058053541627782,18.11718618413095
91,18.019798513536898,17.70101290919588
92,18.075671250913015,18.289144698816067
93,18.20716304008629,18.310173852242414
94,17.791685699033387,17.94660491901014
95,18.202736895216734,18.002099198836394
96,17.908538647920228,18.012019305832293
97,18.02026712787565,18.283085449296948
98,18.145040679474995,18.266349576095696
99,17.767482516898273,18.39266856017628
100,17.860271185962034,18.07055245164931
101,18.004740781916198,17.879172881799846
102,18.13137524457981,18.298070000222772
103,18.16617783260735,18.115238568880724
104,18.11172997805253,18.14346514812439
105,18.12165492711002,18.336892162074577
106,17.894692056162757,18.223872063153376
107,17.98139994897215,18.14439265879886
108,18.00170550752194,18.288347325753772
109,18.02736453896417,18.350613322067296
110,17.650167221782308,18.373529550151787
111,18.398301942158177,18.082565466218572
112,18.000793033563575,18.218353317177606
113,17.64777509957853,18.486565861014576
114,18.011048295443057,17.60140963452379
115,18.188346481176474,18.625205268522695
116,18.194595352931348,18.152626992624963
117,18.099572604107042,18.360438881586802
118,17.951196333213062,18.510091716914385
119,17.90544572582,18.06684482068406
120,17.921507133823862,18.461226490771
121,18.136243275865798,18.18843700765904
122,18.06288045051052,18.37611920000757
123,18.02006488722005,18.16362432254381
124,18.050749518116422,18.010974419053873
125,18.149675421049466,17.996314033431705
126,17.793044777409605,18.172265419710392
127,18.109622032217494,18.181371385288024
128,18.00386965314472,18.191522272422922
129,17.724610070150685,18.136082574730935
130,17.890426801233687,18.36546874339412
131,17.724679152318103,18.06776733349275
132,18.076092739335238,18.130302270009306
133,17.8444091032267,18.371962167808412
134,17.896026030697634,18.40678382424483
135,18.15530429424947,18.272287154394956
136,18.20885067797593,17.969938765016504
137,18.25815223512603,18.376617837708345
138,17.8297628734088,18.24095481682328
139,18.2026390175297,18.488379634997997
140,18.25562719092454,18.25195035824192
141,18.438905081630285,18.0484748801311
142,18.210148566775977,17.80730375998282
143,18.360028517383757,18.0933208842499
144,18.122503632663285,17.857409786190058
145,17.75943740241241,18.055811319736858
146,17.845762367372267,18.1874828195929
147,18.149326490217206,18.109900015133697
148,18.012942232598547,18.451226206650254
149,17.890800025303303,18.34245212183181
150,18.02176552576637,18.025829431037067
151,17.712980143096747,17.783629196274173
152,18.087513808361788,18.004198184620744
153,18.518230466174774,18.33271218443644
154,18.0258450070847,18.067675871107568
155,18.018214606031133,18.24386117272424
156,18.11256748509609,17.988029515311712
157,17.77083724440995,18.219148279036
158,18.198871361466882,17.70701110819551
159,18.022511104403264,18.251992262333136
160,18.190559114164692,18.09098377734062
161,18.11689742365756,17.99211597513524
162,18.0112920649382,18.250100888298714
163,17.906343175452907,18.30397630389976
164,18.116876277231032,18.4473235006327
165,17.58969708868564,18.149884525913137
166,18.131967635700803,17.93090161219976
167,18.059934356482856,18.133326710342285
168,18.101505733089123,18.403253296048646
169,17.954198562532714,18.189909747754122
170,17.942895045897856,18.28340823429595
171,17.894373946722805,18.273495487656806
172,18.106248240411393,17.846779139580057
173,18.034936253345126,18.048220798188918
174,17.944811700679313,18.093026523863486
175,17.69875487810683,18.317738454253846
176,17.91454453936483,18.199766085793996
177,18.355743835965562,18.145964399003258
178,18.273128070237558,18.149200288572786
179,18.0629412612356,18.01403977617075
180,18.054373996020978,18.149456518522403
181,18.28063633224006,18.270993294814467
182,18.212100064039035,18.26276313322858
183,18.053753741691057,18.20311715851684
184,17.92977689625969,18.133834737504493
185,18.034281319574877,18.221816736387343
186,17.97446363971123,17.902220394069264
187,18.190202488890908,18.315543283732076
188,18.02580696808031,18.357826063970275
189,17.9118398965945,18.378306740076567
190,18.25286768791899,17.699217810479556
191,18.12114104476397,17.92754147476206
192,17.877285913716612,18.198237376247754
193,17.933182048644543,18.090886346266853
194,18.112024363231942,18.143860868750775
195,18.073701666141613,18.404806494128845
196,18.086020561258984,18.068458810243882
197,17.87613913165822,18.006109556976128
198,17.71066908388682,18.51244194288527
199,17.8161844951915,18.109833223772295
200,18.403962108879227,18.284210587561756
201,17.902419831625707,18.086448765044114
202,18.03346584276916,18.167987977472063
203,17.866903824391745,18.00575102747609
204,18.25505469577001,18.03181992658921
205,18.04348173981333,18.049947087579742
206,17.892367801296835,18.363317213641526
207,18.03774995899874,18.273578503725275
208,18.127037273533915,18.874134398638123
209,18.112054572124507,18.02709118370287
210,17.74518704878367,18.07973513294598
211,17.552173047037446,18.36833594489814
212,17.566647538903624,18.123795152561474
213,18.404506868580032,18.19018939397977
214,17.91215510280717,17.91012992134929
215,17.78175300318225,18.34822413453115
216,17.336446027309105,17.701375431582214
217,17.51400527366695,18.3289158890936
218,18.243083006570696,18.23927407220996
219,18.32187497512305,18.259403700823327
220,18.014067645305555,18.283892404322447
221,17.731180228227505,18.132530434257607
222,17.994066195272858,18.178165886068548
223,17.90522483874442,18.13769879080223
224,17.947577852845505,18.29604049874089
225,17.962085356490824,18.005909879570776
226,18.078855459427306,18.142397914334595
227,18.045159781086394,18.18830284903116
228,17.90431003874773,18.0161725024051
229,17.874721499227253,18.298589838704373
230,17.98055865922001,17.90924702048351
231,17.840128149032306,17.81074347239775
232,17.639908396695766,18.12094095011876
