layer,pattern,connective,mean_z,ci_lo,ci_hi
0,TT,and,-0.66442573,-0.727124497294426,-0.6015549212694168
0,TT,or,0.9985874,0.935133484005928,1.0586281955242156
0,TF,and,-0.94259393,-1.005796867609024,-0.8779865518212319
0,TF,or,0.91174424,0.8503413304686547,0.9806479722261429
0,FT,and,-0.8548082,-0.9229708358645439,-0.7871034353971481
0,FT,or,0.9797748,0.9042532488703727,1.0485306710004807
0,FF,and,-0.9310124,-0.9939128056168556,-0.8682651191949844
0,FF,or,0.7383281,0.6653146922588349,0.8057408690452575
1,TT,and,-0.69218177,-0.743832266330719,-0.6386814206838608
1,TT,or,1.0030514,0.9587314531207085,1.0505880028009416
1,TF,and,-0.99194413,-1.0363183528184892,-0.9477875873446464
1,TF,or,0.97907424,0.9256442457437515,1.028945904970169
1,FT,and,-0.91082275,-0.9593485429883003,-0.8610751286149025
1,FT,or,1.0666893,1.0170561969280243,1.1135676413774491
1,FF,and,-1.0023304,-1.0496318101882935,-0.9559605315327644
1,FF,or,0.77749395,0.719305507838726,0.8286742195487022
2,TT,and,-0.5681089,-0.6300242751836777,-0.5060091987252235
2,TT,or,1.0242028,0.9653446555137635,1.0860711932182312
2,TF,and,-0.95601445,-1.0141948461532593,-0.9024262309074402
2,TF,or,0.9466185,0.8923564806580544,1.002912849187851
2,FT,and,-0.8957948,-0.95170808583498,-0.8370893836021424
2,FT,or,1.0524268,0.9914064764976501,1.1063688784837722
2,FF,and,-1.0270909,-1.0803016692399978,-0.9729767248034478
2,FF,or,0.6660255,0.6070930093526841,0.7209843471646309
3,TT,and,-0.5267671,-0.5969497352838516,-0.46276048123836516
3,TT,or,1.0531034,0.9954184591770172,1.1193098634481429
3,TF,and,-0.9125868,-0.9672959044575691,-0.853030800819397
3,TF,or,0.965571,0.9091357454657555,1.0234110474586486
3,FT,and,-0.9074961,-0.9667238399386406,-0.8516499817371368
3,FT,or,1.0177596,0.9594303533434868,1.0821944624185562
3,FF,and,-1.040817,-1.0985372960567474,-0.987186273932457
3,FF,or,0.6171977,0.5569570243358613,0.6766654327511787
4,TT,and,-0.51157236,-0.5719792187213898,-0.4497579284012318
4,TT,or,1.0732317,1.0070854604244233,1.142382389307022
