layer,connective_offset,connective_offset_ci_lo,connective_offset_ci_hi,spread_and,spread_and_ci_lo,spread_and_ci_hi,spread_or,spread_or_ci_lo,spread_or_ci_hi
0,1.8444606,1.7823849976062776,1.9146291494369507,0.26658666,0.17918283939361573,0.3617592841386795,0.26025933,0.1677517384290695,0.3513406157493591
1,1.9742652,1.9283163636922835,2.0220636427402496,0.31014866,0.2429129496216774,0.38034146577119826,0.22555745,0.15991769433021547,0.29537175744771954
2,1.9254273,1.8655939638614654,1.9841175585985185,0.458982,0.3770481660962105,0.5342920482158661,0.3581773,0.27767460942268374,0.44267851263284685
3,1.9017067,1.8449270248413085,1.9578013509511947,0.51404995,0.4282084792852402,0.6031010374426842,0.43590575,0.3428694248199463,0.5202624961733818
4,1.8925544,1.826120337843895,1.9500135093927384,0.54960597,0.4650474801659584,0.6366376176476478,0.4639892,0.3783133327960968,0.5531483992934227
5,1.6714125,1.5995564579963684,1.7380134403705596,1.266657,1.1726304203271867,1.367141890525818,1.0545307,0.9595362052321434,1.1487163186073304
6,1.6736751,1.6024933815002442,1.7464322179555893,1.3062711,1.2086963713169099,1.4036081463098526,1.0507071,0.9526688814163208,1.1405514419078826
7,1.5386565,1.46786025762558,1.6066360890865325,1.5134878,1.4213659286499023,1.6064338892698289,1.3354392,1.2504777997732162,1.43607959151268
8,1.5087835,1.4409176290035248,1.5726418226957322,1.6111392,1.5150688529014587,1.7075021862983704,1.4489491,1.3553897351026536,1.5411437004804611
9,1.5053056,1.4394396483898162,1.56854290664196,1.6405528,1.544308540225029,1.7280369788408279,1.4960101,1.4097691267728805,1.5844100683927536
10,1.266798,1.2223147302865982,1.3132604300975799,2.1114547,2.04229456782341,2.188052475452423,1.8259696,1.7525897204875946,1.8939690560102462
11,1.2884569,1.239750337600708,1.336641326546669,2.0919538,2.0233219861984253,2.1679710924625395,1.809524,1.7433963298797608,1.8857372760772706
12,1.2953088,1.2469325453042983,1.3415711522102356,2.1340473,2.066701328754425,2.2028686940670013,1.7866316,1.7214936584234237,1.8551368296146393
13,1.2613552,1.2183868288993835,1.3026923358440399,2.1863291,2.120153033733368,2.2517935752868654,1.8600419,1.794514274597168,1.9241547405719757
14,1.2558646,1.218121302127838,1.2969756543636322,2.1913373,2.130457508563995,2.253152012825012,1.8576148,1.8009835243225099,1.9182187974452973
15,1.2368307,1.1966308057308197,1.2779402077198028,2.24549,2.1900375485420227,2.3032036125659943,1.8578448,1.807585236430168,1.9114737957715988
16,1.2401524,1.1972498387098311,1.2800281941890717,2.2452285,2.1824732065200805,2.3123514890670775,1.8519413,1.8005152463912963,1.8997491389513015
17,1.2475222,1.2023894280195235,1.2889038920402527,2.2162814,2.1543899536132813,2.282827025651932,1.8642018,1.814236044883728,1.9135511577129365
18,1.2688763,1.223173412680626,1.3097245901823045,2.1813996,2.119954526424408,2.2389887988567354,1.9063851,1.850135138630867,1.9574206471443176
19,1.2735398,1.2289868861436843,1.317674669623375,2.1794302,2.115871810913086,2.2424541652202605,1.9130764,1.8599449813365936,1.961089026927948
20,1.2775881,1.234668254852295,1.3190916806459427,2.166476,2.1071061193943024,2.220645570755005,1.9366004,1.8867872536182404,1.988195499777794
21,1.3055011,1.2639513671398164,1.3472930788993835,2.1782742,2.116030049324036,2.238883876800537,1.9137477,1.858420181274414,1.9682380259037018
22,1.308351,1.262983223795891,1.3522409051656723,2.1625881,2.1037302911281586,2.230135500431061,1.9374005,1.8810045570135117,1.995765921473503
23,1.3294275,1.283280673623085,1.3704724699258803,2.1582916,2.1005035281181335,2.2241191983222963,1.9372324,1.8776531249284745,2.0032455682754517
24,1.3451009,1.303809255361557,1.3894998610019684,2.1467245,2.0723239541053773,2.2191326797008513,1.9384893,1.8748476594686507,1.9997372150421142
25,1.349683,1.3057856500148772,1.3953951269388198,2.1517427,2.0805264472961427,2.2195802986621858,1.9457016,1.8782235622406005,2.0171569168567656
26,1.3443854,1.2997537970542907,1.3893307089805602,2.1450748,2.0653062522411347,2.2150131464004517,1.9535874,1.8823794335126878,2.024887442588806
27,1.3629766,1.3153755336999893,1.4061515986919404,2.1659284,2.09330992102623,2.2397933125495912,1.9261401,1.856081771850586,2.0028480052948
