layer,r2_m1_conjunct_count_only,r2_m2_plus_connective,improvement
0,0.011095514741746193,0.9964262755399642,0.985330760798218
1,0.010252548228583014,0.9946633033650241,0.984410755136441
2,0.025358817688708624,0.9923658953819503,0.9670070776932417
3,0.034888502981856195,0.9932981267401363,0.9584096237582801
4,0.03956955716870714,0.994097479404419,0.9545279222357118
5,0.22360293552117938,0.986745008016298,0.7631420724951187
6,0.2320109316301231,0.9849093634925599,0.7528984318624368
7,0.3367468515025387,0.9794544588299916,0.6427076073274529
8,0.38119154600862515,0.9907781557039436,0.6095866096953184
9,0.3965833065263127,0.9918569368833786,0.5952736303570659
10,0.5585540249184308,0.9948800095519158,0.43632598463348504
11,0.5491366425175885,0.995366389830186,0.44622974731259746
12,0.5532512509131379,0.9937662685700365,0.4405150176568986
13,0.5736329015735966,0.9943484298142156,0.420715528240619
14,0.5739309453295376,0.9939196355094725,0.4199886901799349
15,0.5818505890218624,0.9929807849379761,0.41113019591611377
16,0.5818231578484847,0.9929468772788024,0.41112371943031767
17,0.5816897131031907,0.9938541648213034,0.41216445171811267
18,0.584340873356578,0.9953171386549005,0.41097626529832243
19,0.586709561130084,0.994789666160478,0.40808010503039405
20,0.5878777369913586,0.9950340977754325,0.4071563607840739
21,0.5864696195729624,0.992650961291688,0.40618134171872555
22,0.5921878229358972,0.9922020093138895,0.40001418637799224
23,0.5919774450043713,0.9904861170101193,0.398508672005748
24,0.5922837679690987,0.9888468978879642,0.39656312991886555
25,0.5977014640144325,0.9868349951461064,0.3891335311316739
26,0.6011235884897426,0.9871090563878834,0.3859854678981408
27,0.6028688234995229,0.9830499460183008,0.3801811225187779
