layer,neg_cities_auroc_mean,neg_cities_auroc_min,neg_cities_auroc_max,neg_cities_auroc_std,compound_auroc_mean,compound_auroc_min,compound_auroc_max,compound_auroc_std,mean_pairwise_cosine_sim
0,0.39797785181160455,0.387067831507907,0.40569504418198976,0.007229398101029757,0.5401203125,0.5272234375,0.5533468749999999,0.011223885543315737,0.8207027316093445
1,0.26826582115588093,0.2551349052017501,0.2778961365781121,0.00890142445041618,0.5059215625,0.49200937499999997,0.517478125,0.011215025191191622,0.9323216676712036
2,0.23422781606565818,0.2300573364980411,0.23974091338042267,0.004369493748916539,0.514715,0.5074796875,0.5180234375,0.004210051883912385,0.961126983165741
3,0.20559745774829136,0.20287075695616116,0.20808787783465355,0.0019128292706778944,0.5431134375,0.537253125,0.5471515625,0.0046967586427287215,0.9542440176010132
4,0.1839036003317224,0.18281370642569134,0.18485837456032486,0.0008509772827724753,0.5927156250000001,0.5802640625,0.6009546875,0.007568344042323204,0.9548656344413757
5,0.06288033686979896,0.05948840401498471,0.06723097600732077,0.003051683752878445,0.6043721874999999,0.5843390625,0.634965625,0.0189168696414404,0.9662364721298218
6,0.03076689353427322,0.029222311189911063,0.03176027338499815,0.0010520984542448898,0.680750625,0.658953125,0.712928125,0.02124453579218409,0.9712377786636353
7,0.011025837170064915,0.010437816351625728,0.011905187451742974,0.0005965210236643089,0.6637096875,0.6484328125000001,0.6785687499999999,0.013124721974361776,0.9633696675300598
8,0.013337170064914642,0.011976679344562327,0.01479524721896537,0.00104139589657241,0.59571859375,0.5700046875,0.61349453125,0.018551288096492455,0.9593100547790527
9,0.019412551116703366,0.017084775086505192,0.022702250564785954,0.002372759405926039,0.5843534374999999,0.5607828125,0.5992578125,0.014966889131134503,0.9567919969558716
10,0.00022948897595012754,0.00013047270439532147,0.00032886270696903027,8.39706443793041e-05,0.8264681250000001,0.8128953125,0.8357093750000002,0.010094656173042916,0.9677007794380188
11,0.0006630873058995115,0.0005379764934656415,0.0008436043352683812,0.00012214578711524564,0.7820915625,0.7548734375,0.804253125,0.01957214776200042,0.9703051447868347
12,0.0011002602304898636,0.000650576224656125,0.0020768394864022436,0.0005661426132747465,0.70809609375,0.6844179687499999,0.7302328125,0.018466810768933205,0.9718343019485474
13,0.0001687208670536764,8.042837942177389e-05,0.00023771054362435338,6.62458322136789e-05,0.6966628125,0.6648031249999999,0.7175984375,0.019395511521676883,0.9709113240242004
14,0.0034898767479767806,0.0021965884068746618,0.004752423575166578,0.0009048461658165715,0.6913659375000001,0.66698125,0.7080531250000001,0.015290195027037575,0.9620119333267212
15,0.050565143412737004,0.035322356944722466,0.06324887757728274,0.012173319351815972,0.6271884375,0.6081281249999999,0.646859375,0.015526794569690692,0.9562278985977173
16,0.14594676713660673,0.08862849952815352,0.1854177986216363,0.03693690682811859,0.5435603125,0.5182546875,0.5662874999999999,0.019224872297202628,0.9553844332695007
17,0.15972379107209242,0.11389015985587234,0.20057050530469844,0.03822745100443384,0.578310625,0.5559015625,0.597140625,0.019729653885246962,0.9500177502632141
18,0.1389761288569876,0.10384554891475306,0.19759822986073378,0.03713472569511279,0.587858125,0.5453359375,0.6214140625,0.029215338107112358,0.9488484263420105
19,0.2496790014012411,0.18986459435500017,0.33837649060596525,0.05824402521875638,0.5295965625,0.5054953125,0.5597078124999999,0.02089649957136208,0.9397388696670532
20,0.18553433040693185,0.13466391661185623,0.23865066201492754,0.03893144114839448,0.5262453125000001,0.5045921875,0.5510765624999999,0.018975652059777772,0.9354251623153687
21,0.10066773427893276,0.060660871057222114,0.14051731533644085,0.029604295138919372,0.5373825,0.49901093750000003,0.5642671875,0.025651352550992546,0.9317590594291687
22,0.1829200506162601,0.12087491778432326,0.227027867539821,0.0432398219963252,0.5604456250000001,0.5042359375,0.61206875,0.04872147008472549,0.926905632019043
23,0.18621028625353886,0.13728051988904458,0.22951578540993453,0.03659508974258507,0.6253275,0.5631468749999999,0.6852171875,0.047450441272480576,0.925164520740509
24,0.21257721124424492,0.1766850639137522,0.24435392776459153,0.025138885588855686,0.5531028124999999,0.50531875,0.5979296875,0.03517222655033103,0.9260545969009399
25,0.2577411421544797,0.23799472389830995,0.27765663873716717,0.01710590460360079,0.57784125,0.5395859375000001,0.6392703125,0.040690946753609444,0.9241951107978821
26,0.2689035288398296,0.25383375275243786,0.2837584717892991,0.012828728924161167,0.527143125,0.5031828125,0.56999375,0.026392246254411833,0.9238071441650391
27,0.3233295919242758,0.2936475878635363,0.34194393605765105,0.018203052195091142,0.4997453125,0.476253125,0.5203875,0.017912334569684895,0.9284521341323853
