layer,b1,b2,intercept,r2
0,0.24373114,0.6761237,0.06451141,0.8963285684585571
1,0.009116184,0.0763916,0.28583822,0.0050994157791137695
2,0.18460187,0.29495248,-0.8419307,0.09840279817581177
3,0.11197916,0.18893518,-0.19414195,0.052038490772247314
4,0.06992304,0.13167866,-0.1834033,0.031537532806396484
5,0.32759768,0.18972804,-0.55790854,0.30745214223861694
6,0.16481912,0.32076097,-0.46697718,0.318665087223053
7,0.08866798,0.38962346,-0.973111,0.3498608469963074
8,0.11972807,0.24255079,-1.1746155,0.3021395206451416
9,0.123832874,0.21664478,-1.1869702,0.27542728185653687
10,0.11952226,0.21210234,-0.66442055,0.5832796096801758
11,0.0863084,0.15518557,-0.45483392,0.5146234631538391
12,0.08289246,0.1649073,-0.41651896,0.47858214378356934
13,0.05034205,0.16854475,-0.42998394,0.5417527556419373
14,0.055372264,0.10388925,-0.072955236,0.5024506449699402
15,0.08820927,0.13556865,-0.081517436,0.5212253332138062
16,0.095469706,0.11759006,0.014783988,0.39292824268341064
17,0.10038016,0.12824933,-0.053106524,0.4568006992340088
18,0.10644109,0.107175425,-0.076827385,0.41941767930984497
19,0.14150897,0.10327416,-0.2564517,0.3847564458847046
20,0.15606692,0.10398603,-0.16424751,0.33698368072509766
21,0.1656115,0.08654528,-0.12977713,0.32792818546295166
22,0.13817051,0.07088342,-0.25574467,0.3103595972061157
23,0.124931075,0.070951626,-0.40801656,0.28708523511886597
24,0.14889948,0.08649231,-0.5788929,0.30622291564941406
25,0.15521228,0.090877384,-0.5843711,0.32457274198532104
26,0.15435727,0.094730124,-0.615703,0.28055328130722046
27,0.19445698,0.10715178,-0.7362162,0.2709980607032776
