layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi
0,0.4960000000000001,0.46975806467284753,0.5222419353271527
1,0.598,0.5829058502344671,0.6130941497655329
2,0.6773333333333333,0.650287723916525,0.7043789427501417
3,0.7060000000000002,0.672324672422674,0.7396753275773263
4,0.7419999999999999,0.7122115631506019,0.7717884368493979
5,0.898,0.8829058502344671,0.9130941497655329
6,0.9259999999999999,0.9206035607176376,0.9313964392823623
7,0.9506666666666665,0.9407852261164444,0.9605481072168887
8,0.9553333333333333,0.9478146844456697,0.9628519822209968
9,0.9606666666666668,0.947776198181506,0.9735571351518275
10,0.994,0.989466084128945,0.998533915871055
11,0.9926666666666666,0.9872702273843043,0.9980631059490289
12,0.9933333333333334,0.9882642612873613,0.9984024053793055
13,0.992,0.9872809507433924,0.9967190492566076
14,0.992,0.9872809507433924,0.9967190492566076
15,0.9933333333333334,0.9882642612873613,0.9984024053793055
16,0.9913333333333334,0.9832651709094365,0.9994014957572303
17,0.9906666666666666,0.983865792860084,0.9974675404732491
18,0.992,0.9857230777055052,0.9982769222944948
19,0.992,0.9857230777055052,0.9982769222944948
20,0.9926666666666668,0.9872702273843045,0.9980631059490291
21,0.9913333333333334,0.9857804431229378,0.996886223543729
22,0.992,0.9850743291087762,0.9989256708912237
23,0.992,0.9850743291087762,0.9989256708912237
24,0.9933333333333334,0.9867891894617415,0.9998774772049253
25,0.9933333333333334,0.9861645828972733,1.0005020837693936
26,0.9906666666666666,0.9827053720396667,0.9986279612936665
27,0.9879999999999999,0.981723077705505,0.9942769222944947
