layer,dim_auc_mean,dim_auc_ci_lo,dim_auc_ci_hi,lr_auc_mean,lr_auc_ci_lo,lr_auc_ci_hi
0,0.5203822222222223,0.4897079962373371,0.5510564482071075,0.5125244444444444,0.47313093727614414,0.5519179516127448
1,0.5392444444444445,0.49692579133458353,0.5815630975543056,0.64568,0.6115003592917952,0.6798596407082048
2,0.5335377777777777,0.49399340124572233,0.573082154309833,0.7509511111111111,0.7159555630295958,0.7859466591926264
3,0.5036177777777777,0.45384519786023564,0.5533903576953199,0.7758755555555557,0.7505592776945074,0.8011918334166039
4,0.516631111111111,0.4740769762671654,0.5591852459550567,0.8226311111111111,0.800466786352644,0.8447954358695782
5,0.5940266666666667,0.5477463364396098,0.6403069968937236,0.9582844444444445,0.9514507815894192,0.9651181072994698
6,0.6667644444444444,0.6182641106442917,0.7152647782445971,0.9790844444444445,0.9747161708122667,0.9834527180766224
7,0.8685866666666667,0.8211973859948688,0.9159759473384647,0.9891555555555556,0.9849723964639939,0.9933387146471172
8,0.9106577777777778,0.8869577543953686,0.934357801160187,0.9907199999999999,0.9881834671737194,0.9932565328262805
9,0.8928977777777778,0.8645540431460894,0.9212415124094662,0.9917688888888889,0.9891345894032354,0.9944031883745424
10,0.994648888888889,0.9906754491274116,0.9986223286503665,0.9994222222222222,0.9989209789630447,0.9999234654813998
11,0.9860800000000001,0.9765422067127117,0.9956177932872884,0.9993511111111111,0.9988138001013286,0.9998884221208936
12,0.9963733333333333,0.9935022245034514,0.9992444421632153,0.9995733333333332,0.9991742418910167,0.9999724247756497
13,0.9991555555555556,0.9984774301042538,0.9998336810068573,0.9996355555555555,0.9992564216975292,1.0000146894135817
14,0.9992977777777778,0.9986271032400859,0.9999684523154698,0.9995288888888888,0.9990880987092868,0.9999696790684908
15,0.9988977777777777,0.9975794436124796,1.0002161119430757,0.9996533333333334,0.9993100307642762,0.9999966359023906
16,0.9980888888888888,0.9955630038265918,1.0006147739511857,0.9995822222222221,0.9991431626742717,1.0000212817701726
17,0.9961066666666667,0.9916428803823972,1.000570452950936,0.999688888888889,0.9993942812517433,0.9999834965260346
18,0.9926400000000001,0.986182569005299,0.9990974309947012,0.9996622222222221,0.9993011920858409,1.0000232523586035
19,0.98336,0.9702276585076208,0.9964923414923792,0.9996711111111111,0.9993295873238113,1.0000126348984109
20,0.9751555555555556,0.9556745235707551,0.994636587540356,0.9996622222222221,0.9993033071019104,1.0000211373425338
21,0.9483111111111111,0.9182927428079564,0.9783294794142658,0.99968,0.999273723956747,1.000086276043253
22,0.9058577777777778,0.8633577089420725,0.948357846613483,0.9996266666666667,0.9990795268383383,1.000173806494995
23,0.8905511111111112,0.843971292715362,0.9371309295068604,0.9996355555555556,0.9990330518828333,1.000238059228278
24,0.8864533333333334,0.8396712627539159,0.933235403912751,0.9995911111111111,0.9988658945056317,1.0003163277165905
25,0.8607288888888889,0.810058680167216,0.9113990976105617,0.9995466666666667,0.9986599197442267,1.0004334135891066
26,0.8192533333333334,0.7686070389144771,0.8698996277521897,0.9994222222222222,0.9983054913461236,1.0005389530983209
27,0.7623644444444444,0.7113183562899448,0.813410532598944,0.9992888888888889,0.9978351001310255,1.0007426776467523
