layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi
0,0.5033333333333333,0.46760926012547555,0.539057406541191
1,0.502,0.47012793657500584,0.5338720634249942
2,0.5013333333333333,0.4767426732272939,0.5259239934393727
3,0.4966666666666667,0.4747657723256713,0.5185675610076621
4,0.49000000000000005,0.4582086595330521,0.521791340466948
5,0.49800000000000005,0.48128999281990437,0.5147100071800957
6,0.504,0.49328677476422667,0.5147132252357733
7,0.5086666666666666,0.46794547179043233,0.5493878615429009
8,0.5086666666666667,0.4690110986575704,0.548322234675763
9,0.506,0.4684751691660358,0.5435248308339642
10,0.5153333333333333,0.4705071420156738,0.5601595246509928
11,0.5146666666666666,0.4865040288622285,0.5428293044711048
12,0.5146666666666666,0.49672091065108065,0.5326124226822526
13,0.5086666666666666,0.47586751159243057,0.5414658217409026
14,0.5133333333333334,0.48973808705029553,0.5369285796163713
15,0.506,0.46975229486862624,0.5422477051313738
16,0.5066666666666666,0.47890221561468865,0.5344311177186445
17,0.5126666666666667,0.4711332585497409,0.5542000747835925
18,0.5033333333333332,0.46278075696555626,0.5438859097011101
19,0.5053333333333333,0.45148015827838456,0.5591865083882821
20,0.49333333333333335,0.4303597607769043,0.5563069058897624
21,0.48933333333333334,0.4516945489092842,0.5269721177573825
22,0.5026666666666666,0.4782858880103592,0.527047445322974
23,0.49066666666666664,0.4607634377277626,0.5205698956055707
24,0.5006666666666667,0.46636136814803664,0.5349719651852968
25,0.4973333333333333,0.4573765249926908,0.5372901416739758
26,0.5253333333333334,0.5002256441553542,0.5504410225113127
27,0.5126666666666667,0.4836354400622327,0.5416978932711007
