layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi
0,0.4434552201036275,0.3919355110705518,0.49497492913670316
1,0.46058698827868944,0.4208958028893026,0.5002781736680763
2,0.49174067633915464,0.42962036818193955,0.5538609844963697
3,0.536621955277426,0.47915173645252823,0.5940921741023236
4,0.5674982353921025,0.49827888417311095,0.6367175866110941
5,0.5991696136717066,0.5409037034417674,0.6574355239016458
6,0.9119760053271785,0.8641039645803593,0.9598480460739977
7,0.9516665208643162,0.9152269039984143,0.9881061377302182
8,0.9545248301402618,0.9143138436224434,0.9947358166580802
9,0.9544431808240749,0.9160743943483723,0.9928119672997774
10,0.9885300207039338,0.9653922819443593,1.0116677594635082
11,0.9857902946765364,0.9640625189200795,1.0075180704329934
12,0.9942443064182195,0.9844579479206991,1.0040306649157398
13,0.9942443064182195,0.9844579479206991,1.0040306649157398
14,1.0,1.0,1.0
15,1.0,1.0,1.0
16,1.0,1.0,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,1.0,1.0,1.0
21,0.9942845478669117,0.9845653781922685,1.0040037175415548
22,0.9942845478669117,0.9845653781922685,1.0040037175415548
23,0.988805095812117,0.9744802302618618,1.003129961362372
24,0.988805095812117,0.9744802302618618,1.003129961362372
25,0.9915448218395143,0.9819547150797193,1.0011349285993094
26,0.9859479529549742,0.9739127020136417,0.9979832038963067
27,0.9745170486887975,0.9594369215153496,0.9895971758622454
