layer,dim_auc_mean,dim_auc_ci_lo,dim_auc_ci_hi,lr_auc_mean,lr_auc_ci_lo,lr_auc_ci_hi
0,0.45317671509815477,0.43492822613970333,0.4714252040566062,0.4211423217828017,0.38457802206270025,0.45770662150290314
1,0.47456620143926653,0.41973173822569493,0.5294006646528382,0.4531369657724147,0.42102377100819444,0.48525016053663494
2,0.492884875446795,0.4435255956229666,0.5422441552706234,0.4831139613086208,0.4224717270672136,0.543756195550028
3,0.5217483991168202,0.4392985736655059,0.6041982245681345,0.5381075247425866,0.46583615449163845,0.6103788949935348
4,0.5335001454099751,0.4485237516044113,0.6184765392155389,0.584652555031812,0.5083859637484743,0.6609191463151497
5,0.5423329139370161,0.4898357340779734,0.5948300937960589,0.6331452975280374,0.5776725580088966,0.6886180370471782
6,0.9323145536825879,0.9045474532527527,0.9600816541124231,0.9737044009954225,0.9611001273467171,0.986308674644128
7,0.987535330327513,0.9806808313972829,0.994389829257743,0.9918544802542482,0.9852338219047897,0.9984751386037066
8,0.9881544253583726,0.9815413921561583,0.9947674585605869,0.9938084615716193,0.9892157495683842,0.9984011735748544
9,0.9909972993680423,0.983406523657253,0.9985880750788315,0.9958900930553407,0.9912708793966698,1.0005093067140116
10,0.9957210957791454,0.9910621309173365,1.000380060640954,0.9991698786106682,0.997717174356865,1.0006225828644713
11,0.9889032575003938,0.9777058577187897,1.0001006572819977,0.9993382287790183,0.9980059043435467,1.00067055321449
12,0.9848785691123153,0.9719913253108802,0.9977658129137504,1.0,1.0,1.0
13,0.9985113367659807,0.9963727778683914,1.0006498956635699,1.0,1.0,1.0
14,0.9956719957010204,0.9874998997128369,1.0038440916892037,1.0,1.0,1.0
15,0.9993359669830258,0.9979752132709812,1.0006967206950705,1.0,1.0,1.0
16,0.9970563435656314,0.9941805802057401,0.9999321069255228,1.0,1.0,1.0
17,0.9955826150524294,0.9906931699635707,1.0004720601412882,1.0,1.0,1.0
18,0.9962372804129769,0.9918036399782273,1.0006709208477265,1.0,1.0,1.0
19,0.9936115890024558,0.9860047907125876,1.0012183872923242,1.0,1.0,1.0
20,0.9833199835425066,0.9719954648522469,0.9946445022327663,1.0,1.0,1.0
21,0.9692537434352451,0.9492133197887241,0.989294167081766,1.0,1.0,1.0
22,0.9517528214606388,0.9232224810362163,0.9802831618850613,1.0,1.0,1.0
23,0.93457126948226,0.895668620058864,0.9734739189056559,0.9998484848484848,0.9994278113476972,1.0002691583492722
24,0.9326398999618813,0.8955751811169221,0.9697046188068406,0.9998484848484848,0.9994278113476972,1.0002691583492722
25,0.893761973872268,0.8407551365840618,0.9467688111604742,0.9996895023365611,0.999161334093089,1.0002176705800332
26,0.8758613074092951,0.8196556604059456,0.9320669544126446,0.9993790046731224,0.9983226681861783,1.0004353411600664
27,0.811215107240649,0.7367455223395336,0.8856846921417645,0.9983970066323007,0.996280543527632,1.0005134697369695
