layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi
0,0.536778447137061,0.486268080883234,0.587288813390888
1,0.5451945502676572,0.48675588285926885,0.6036332176760455
2,0.544994317702922,0.48833883026872926,0.6016498051371146
3,0.5172549212287822,0.44385635371351795,0.5906534887440466
4,0.5366678370800543,0.48249252928023884,0.5908431448798697
5,0.4944691216586795,0.43611835359121764,0.5528198897261414
6,0.510627737039669,0.43123607280597503,0.590019401273363
7,0.5189353712107867,0.4344786533656544,0.603392089055919
8,0.49698510299438076,0.41320098915993697,0.5807692168288245
9,0.511121132193199,0.4107718993244721,0.6114703650619259
10,0.5139704935988774,0.45911881506425245,0.5688221721335023
11,0.49106961003663435,0.4148219007684065,0.5673173193048622
12,0.5000370298023998,0.4244471827003415,0.5756268769044582
13,0.4972737916480419,0.4123422083618922,0.5822053749341917
14,0.4916635009581012,0.4191546840101913,0.5641723179060111
15,0.46559113266056523,0.39770450992021456,0.5334777554009159
16,0.4913962073013822,0.4064314670206722,0.5763609475820923
17,0.4828984548545991,0.45682890487699784,0.5089680048322003
18,0.4882146082770197,0.43517890506532714,0.5412503114887123
19,0.4969528347372302,0.42819514632102096,0.5657105231534394
20,0.5164339780992886,0.45486805663921837,0.5779998995593588
21,0.5130914132801574,0.4173221308869472,0.6088606956733675
22,0.5187631247081457,0.42748179122802055,0.6100444581882708
23,0.5112653686662361,0.4743713654016879,0.5481593719307842
24,0.49145315410429624,0.4186444024292279,0.5642619057793645
25,0.5053150828736566,0.4658077685995814,0.5448223971477317
26,0.502098882754538,0.4291848554456016,0.5750129100634743
27,0.5051517842412825,0.40894866997288415,0.6013548985096808
