layer,cities->cities_acc,cities->cities_acc_lo,cities->cities_acc_hi,cities->cities_auc,cities->cities_auc_lo,cities->cities_auc_hi,cities->neg_cities_acc,cities->neg_cities_acc_lo,cities->neg_cities_acc_hi,cities->neg_cities_auc,cities->neg_cities_auc_lo,cities->neg_cities_auc_hi,neg_cities->neg_cities_acc,neg_cities->neg_cities_acc_lo,neg_cities->neg_cities_acc_hi,neg_cities->neg_cities_auc,neg_cities->neg_cities_auc_lo,neg_cities->neg_cities_auc_hi,neg_cities->cities_acc,neg_cities->cities_acc_lo,neg_cities->cities_acc_hi,neg_cities->cities_auc,neg_cities->cities_auc_lo,neg_cities->cities_auc_hi
0,0.4166666666666667,0.3566666666666667,0.47,0.4325349034301263,0.3661797131960424,0.4977626304398373,0.4338235294117647,0.40840574866310164,0.45989304812834225,0.38295168577883265,0.35274161161950207,0.4105451492459893,0.41333333333333333,0.3566666666666667,0.4666666666666667,0.4324902984076007,0.3668280737789528,0.49721826536842156,0.4338235294117647,0.40975935828877,0.4605614973262032,0.3752377105436243,0.3458676897364158,0.4032568978107439
1,0.5066666666666667,0.44666666666666666,0.56,0.5301752977385255,0.45985651332116817,0.5952948980271363,0.44986631016042783,0.42379679144385024,0.4752673796791444,0.2519302811061226,0.22941853532362455,0.2755275874529028,0.5266666666666666,0.47,0.5833333333333334,0.5537713546545341,0.4824627231068084,0.617185372174716,0.3983957219251337,0.3729779411764706,0.4224766042780749,0.3060228345105665,0.2802249127620785,0.33276954994679486
2,0.6066666666666667,0.5466666666666666,0.6633333333333333,0.6816539542352469,0.620705711064039,0.7418869015188578,0.47794117647058826,0.454528743315508,0.5046958556149732,0.2288741456718808,0.20617985647712497,0.251688643735376,0.6033333333333334,0.5465833333333334,0.6633333333333333,0.6624737945492664,0.5963769292374851,0.7246037907737157,0.48863636363636365,0.4625501336898396,0.5133856951871658,0.20843282621750692,0.18743131360976775,0.2313134507401566
3,0.6533333333333333,0.5999166666666668,0.7066666666666667,0.7383915428877292,0.6796065397965232,0.7924641107852157,0.3790106951871658,0.3536096256684492,0.40307486631016043,0.19767150905087363,0.1756664032789131,0.21981177978213376,0.6566666666666666,0.6033333333333334,0.71,0.7288460680672644,0.6681818146496429,0.7835784682096135,0.48863636363636365,0.4632352941176471,0.5153743315508021,0.18070469558752036,0.16041162252443583,0.20090807676701108
4,0.6733333333333333,0.6233333333333333,0.7266666666666667,0.7751014764262456,0.7245967326290784,0.8258950247661347,0.3997326203208556,0.3749832887700535,0.4264705882352941,0.176315093368412,0.15678728951449747,0.19796173902603717,0.6966666666666667,0.6433333333333333,0.7466666666666667,0.7926758553013069,0.7436309693644074,0.8425398556992229,0.4913101604278075,0.464572192513369,0.5160594919786096,0.1682668935342732,0.14775854951004325,0.1875267875494866
5,0.89,0.8533333333333334,0.92,0.9461171327891521,0.9191424264526007,0.9680242867149974,0.47393048128342247,0.44919786096256686,0.5,0.06377970488146645,0.052631404577929704,0.07533667656348621,0.8933333333333333,0.86,0.9266666666666666,0.9529863062580846,0.9277411065454292,0.9720540449797019,0.481951871657754,0.4565508021390374,0.5053475935828877,0.08276437701964598,0.06891171832465988,0.09541608292034022
6,0.9133333333333333,0.8766666666666667,0.9466666666666667,0.9722556759891164,0.9542817943570818,0.986898009995901,0.49064171122994654,0.46656082887700534,0.5167112299465241,0.0301481312019217,0.022971936118805936,0.037150645022912106,0.9266666666666666,0.8933333333333333,0.9534166666666666,0.9769838083768233,0.9620569223251314,0.9887980458764819,0.33088235294117646,0.30813836898395724,0.35427807486631013,0.045182876261831914,0.03618339845104072,0.055766790580855354
7,0.95,0.9233333333333333,0.9733333333333334,0.9900976849993309,0.9819314772656835,0.99644492889388,0.4859625668449198,0.45987633689839574,0.5113636363636364,0.009851582830507022,0.006765318908947256,0.013688640734450298,0.96,0.9366666666666666,0.98,0.9939783219590526,0.9873250974837274,0.9990206900979928,0.21256684491978609,0.19182820855614974,0.23328877005347592,0.014830993165375051,0.010793822349472328,0.019261912510108586
8,0.94,0.91,0.9633333333333334,0.990855970382265,0.9827875326261508,0.9970602028690263,0.4799465240641711,0.45387700534759357,0.5053475935828877,0.012294818267608455,0.00868989562683012,0.016198673355063302,0.9666666666666667,0.9433333333333334,0.9833333333333333,0.994424372184308,0.9888857598175325,0.998444377034041,0.3141711229946524,0.2907754010695187,0.3362299465240642,0.02107938459778662,0.015932948332287714,0.026689049728687606
9,0.9533333333333334,0.9299166666666668,0.9766666666666667,0.9943797671617824,0.9885238051601493,0.998487558862758,0.39438502673796794,0.3689839572192513,0.41911764705882354,0.020589665131974036,0.015853297156989948,0.025995737654842293,0.97,0.95,0.9867499999999999,0.9962085730853294,0.9912252083333334,0.999731033991162,0.07620320855614973,0.06348596256684494,0.09090909090909091,0.01892747862392405,0.013775586546077176,0.024307072950129682
