layer,cities->cities_acc,cities->cities_acc_lo,cities->cities_acc_hi,cities->cities_auc,cities->cities_auc_lo,cities->cities_auc_hi,cities->sp_en_trans_acc,cities->sp_en_trans_acc_lo,cities->sp_en_trans_acc_hi,cities->sp_en_trans_auc,cities->sp_en_trans_auc_lo,cities->sp_en_trans_auc_hi,sp_en_trans->sp_en_trans_acc,sp_en_trans->sp_en_trans_acc_lo,sp_en_trans->sp_en_trans_acc_hi,sp_en_trans->sp_en_trans_auc,sp_en_trans->sp_en_trans_auc_lo,sp_en_trans->sp_en_trans_auc_hi,sp_en_trans->cities_acc,sp_en_trans->cities_acc_lo,sp_en_trans->cities_acc_hi,sp_en_trans->cities_auc,sp_en_trans->cities_auc_lo,sp_en_trans->cities_auc_hi
0,0.4166666666666667,0.3566666666666667,0.47,0.4325349034301263,0.3661797131960424,0.4977626304398373,0.5,0.4491525423728814,0.5480225988700564,0.5143158096332471,0.45279706747212944,0.5728340961754129,0.4084507042253521,0.29577464788732394,0.5211267605633803,0.32051282051282054,0.19916666666666666,0.4504447115384616,0.5,0.4712566844919786,0.5254177807486631,0.4753585318424891,0.44673903414300153,0.5046047132385426
1,0.5066666666666667,0.44666666666666666,0.56,0.5301752977385255,0.45985651332116817,0.5952948980271363,0.5,0.4463276836158192,0.5508474576271186,0.5079000287273772,0.4494302348781529,0.5656452182046371,0.4225352112676056,0.30985915492957744,0.5352112676056338,0.358974358974359,0.23683050775978406,0.5008219004065041,0.5040106951871658,0.4792613636363636,0.5294284759358289,0.5139096413966656,0.48413697090208285,0.5463050721843284
2,0.6066666666666667,0.5466666666666666,0.6633333333333333,0.6816539542352469,0.620705711064039,0.7418869015188578,0.5,0.4519774011299435,0.5536723163841808,0.5462989562386287,0.48547511776092855,0.6064252437966284,0.4507042253521127,0.3380281690140845,0.5774647887323944,0.40705128205128205,0.27403846153846156,0.5533828261560464,0.5,0.47393048128342247,0.5267379679144385,0.5787742357516659,0.5504402185352395,0.6053622981355163
3,0.6533333333333333,0.5999166666666668,0.7066666666666667,0.7383915428877292,0.6796065397965232,0.7924641107852157,0.5,0.4462570621468927,0.5480932203389829,0.5157521784927702,0.45420634048033387,0.5754862588973852,0.5211267605633803,0.4084507042253521,0.6338028169014085,0.46955128205128205,0.33650435678997936,0.613019069227237,0.5,0.47393048128342247,0.5254010695187166,0.5001483456776001,0.4710111719129172,0.5298180611430345
4,0.6733333333333333,0.6233333333333333,0.7266666666666667,0.7751014764262456,0.7245967326290784,0.8258950247661347,0.5056497175141242,0.4547316384180791,0.5621468926553672,0.5813144371030036,0.5211179596033791,0.6404034683957419,0.49295774647887325,0.36619718309859156,0.6056338028169014,0.48397435897435903,0.3444624032364726,0.6263922390950789,0.5,0.4752506684491979,0.5274064171122995,0.5363715004718466,0.507327053539865,0.5636004614156956
5,0.89,0.8533333333333334,0.92,0.9461171327891521,0.9191424264526007,0.9680242867149974,0.5,0.451906779661017,0.5508474576271186,0.5708768233904689,0.504522871515059,0.6291396339931793,0.5211267605633803,0.39436619718309857,0.6338028169014085,0.5649038461538461,0.42759936766034334,0.6970624052293743,0.5040106951871658,0.4799465240641711,0.5307486631016043,0.6024103491664046,0.5741577252232105,0.6297435374849916
6,0.9133333333333333,0.8766666666666667,0.9466666666666667,0.9722556759891164,0.9542817943570818,0.986898009995901,0.5,0.4491525423728814,0.5536723163841808,0.8821858342111143,0.8451201120005484,0.9181941147446586,0.8732394366197183,0.7887323943661971,0.9436619718309859,0.9679487179487178,0.9310158322281168,0.9928381887320181,0.5240641711229946,0.49730949197860963,0.5494652406417112,0.7245113529125797,0.6990848653385313,0.7498096190922934
7,0.95,0.9233333333333333,0.9733333333333334,0.9900976849993309,0.9819314772656835,0.99644492889388,0.6186440677966102,0.5677966101694916,0.6694915254237288,0.9558236777426666,0.9332843412131909,0.9740140209641742,0.9577464788732394,0.9014084507042254,1.0,0.9919871794871795,0.9755844155844156,1.0,0.7152406417112299,0.6925133689839572,0.7372994652406417,0.8632932025508308,0.8431307614839213,0.8814552823652478
8,0.94,0.91,0.9633333333333334,0.990855970382265,0.9827875326261508,0.9970602028690263,0.5847457627118644,0.5338983050847458,0.635593220338983,0.960292380861183,0.9386093455904072,0.9785189917599295,0.971830985915493,0.9295774647887324,1.0,0.9935897435897436,0.9782146057347669,1.0,0.7640374331550802,0.7426470588235294,0.7847760695187166,0.8471610569361433,0.8282628409916154,0.864667790505831
9,0.9533333333333334,0.9299166666666668,0.9766666666666667,0.9943797671617824,0.9885238051601493,0.998487558862758,0.5282485875706214,0.4745762711864407,0.5790960451977402,0.9498228478406587,0.9261187181751676,0.9708668312329479,0.971830985915493,0.9295774647887324,1.0,0.9951923076923077,0.9833853264238821,1.0,0.5314171122994652,0.5060160427807486,0.5568181818181818,0.8911964883182247,0.8763670379497811,0.9061306876474089
10,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.7146892655367232,0.6694915254237288,0.7627824858757061,0.9915094640748189,0.9849055556144864,0.9970609472929095,0.971830985915493,0.9295774647887324,1.0,0.9967948717948718,0.9869803728340313,1.0,0.8696524064171123,0.8536096256684492,0.8863636363636364,0.9876622865967,0.9831851182230573,0.9917248162942867
11,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.7711864406779662,0.7259887005649718,0.8163841807909604,0.9842318618532349,0.9740141068643284,0.9925266038923263,0.9859154929577465,0.9573943661971833,1.0,0.9967948717948718,0.9854809205350118,1.0,0.6998663101604278,0.6764705882352942,0.7219251336898396,0.9500235923246305,0.9408415681938811,0.9591573111194911
12,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.8022598870056498,0.7598870056497176,0.844632768361582,0.9768585017076831,0.9623704157509887,0.9888289727315299,0.9859154929577465,0.9577464788732394,1.0,0.9983974358974359,0.9926829268292683,1.0,0.7459893048128342,0.7232620320855615,0.7680648395721925,0.968842045812005,0.9609878381812179,0.9758921606090235
13,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9717514124293786,0.9519774011299436,0.9858757062146892,0.9979890835966676,0.9956584024649908,0.9995178147496921,0.9859154929577465,0.9577464788732394,1.0,1.0,0.9999999999999999,1.0,0.8970588235294118,0.8810160427807486,0.9124331550802139,0.993022391260831,0.9900249718214248,0.9957238581269025
14,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.864406779661017,0.827683615819209,0.8983757062146892,0.9991700979922755,0.9978557544854588,0.999936061381074,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.7647058823529411,0.7419786096256684,0.7867647058823529,0.992700677743144,0.9896548752485224,0.9952816242752082
15,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9519774011299436,0.9293785310734464,0.9717514124293786,0.9995850489961378,0.9987230320002263,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.8783422459893048,0.8616310160427807,0.8963903743315508,0.9964986845491721,0.9935438350760909,0.9988000853162458
16,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9858757062146892,0.9717514124293786,0.9971751412429378,0.9990105014523285,0.9973797722674882,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.8315508021390374,0.8121657754010695,0.8482620320855615,0.9977158340244217,0.9949944230806093,0.9993157332897309
17,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9689265536723164,0.9491525423728814,0.9858757062146892,0.9984040346005298,0.9961645116467963,0.9997757057169423,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.8783422459893048,0.8616310160427807,0.8944017379679144,0.996464725900083,0.9940404862373922,0.9982949284203093
18,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9463276836158192,0.9209039548022598,0.9689265536723164,0.9993935331482013,0.9982677978622502,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9812834224598931,0.9739137700534759,0.9879679144385026,0.996941934284652,0.9947599867320371,0.9986438089572486
19,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.7937853107344632,0.751412429378531,0.8361581920903954,0.9986913083724345,0.9969354942518296,0.9998400828918506,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9752673796791443,0.9672459893048129,0.982620320855615,0.996350338871572,0.9938079045303965,0.9984718723738937
20,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.7768361581920904,0.7344632768361582,0.8192090395480226,0.9862746975645569,0.9768007978775626,0.9935717984911533,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9552139037433155,0.94451871657754,0.9652406417112299,0.9911957733992964,0.9873899673196267,0.9946439669093678
21,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.903954802259887,0.8700564971751412,0.9350282485875706,0.9703469628778449,0.9550613099574098,0.9845497304676661,0.9859154929577465,0.9577464788732394,1.0,1.0,0.9999999999999999,1.0,0.9745989304812834,0.9659090909090909,0.981951871657754,0.9951921702078984,0.9920850271298054,0.9976942536492573
22,0.9966666666666667,0.99,1.0,0.999910789954949,0.9995964426963433,1.0,0.6497175141242938,0.6045197740112994,0.7005649717514124,0.9613137987168439,0.9408358411853944,0.9771678859665942,0.9859154929577465,0.9577464788732394,1.0,1.0,0.9999999999999999,1.0,0.9090909090909091,0.8937165775401069,0.9224598930481284,0.9963825102233407,0.9944030933074289,0.998212272067159
23,0.9966666666666667,0.99,1.0,0.9998661849324234,0.9993720021520803,1.0,0.5932203389830508,0.5423728813559322,0.6440677966101694,0.9406620064477001,0.9159947337983346,0.962854773623822,0.9859154929577465,0.9577464788732394,1.0,1.0,0.9999999999999999,1.0,0.9211229946524064,0.9077540106951871,0.9358288770053476,0.9959017272441305,0.9935067734480518,0.997884263105846
24,0.9966666666666667,0.9899166666666668,1.0,0.9995539497747447,0.9982169414341331,1.0,0.53954802259887,0.4887005649717514,0.5932203389830508,0.9238724504452743,0.8961712562112488,0.9480827550061447,0.9859154929577465,0.9577464788732394,1.0,1.0,0.9999999999999999,1.0,0.7800802139037433,0.7586898395721925,0.8028074866310161,0.9932207812634046,0.9899368774647739,0.9960340151146481
25,0.9966666666666667,0.99,1.0,0.9995539497747447,0.9983877899500128,1.0,0.596045197740113,0.5451977401129944,0.652542372881356,0.9236809345973379,0.8952234758398991,0.9498508913893529,0.9859154929577465,0.9577464788732394,1.0,1.0,0.9999999999999999,1.0,0.5655080213903744,0.5414438502673797,0.5909258021390374,0.9867507649632532,0.9818988675102525,0.991193982093408
26,0.9933333333333333,0.9833333333333333,1.0,0.9997323698648468,0.9989262448501579,1.0,0.6666666666666666,0.6186440677966102,0.7175141242937854,0.9268728653962782,0.8971609235780666,0.9518290602592929,0.9859154929577465,0.9577464788732394,1.0,0.9983974358974359,0.9917813986779505,1.0,0.5568181818181818,0.5314171122994652,0.5795454545454546,0.9832172781606566,0.9773380926725005,0.9885901026054661
27,0.9933333333333333,0.9833333333333333,1.0,0.9998215799098978,0.9993322090212049,1.0,0.8022598870056498,0.7570621468926554,0.8418079096045198,0.8789939034121741,0.8416632069721959,0.9124713464246117,0.9859154929577465,0.9577464788732394,1.0,0.9975961538461539,0.9902439024390244,1.0,0.5314171122994652,0.5046624331550802,0.5588235294117647,0.842172710114673,0.8228163095748586,0.8604963168381871
