layer,train_set,eval_set,label_scheme,accuracy,accuracy_ci_lo,accuracy_ci_hi,auroc,auroc_ci_lo,auroc_ci_hi,n,base_rate
0,cities,neg_cities,single,0.4338235294117647,0.40840574866310164,0.45989304812834225,0.38295168577883265,0.35274161161950207,0.4105451492459893,1496,0.5
0,cities,sp_en_trans,single,0.5,0.4491525423728814,0.5480225988700564,0.5143158096332471,0.45279706747212944,0.5728340961754129,354,0.5
0,cities,compound_cities,pooled,0.508125,0.4825,0.5325156249999999,0.5468703125,0.5205172411905948,0.575816959033314,1600,0.5
0,cities,compound_cities,and_only,0.35375,0.32375,0.38625,0.5923583333333333,0.545018764863331,0.6385362620821138,800,0.25
0,cities,compound_cities,or_only,0.6625,0.62875,0.6937812499999999,0.585925,0.5419554713495772,0.6293000757183933,800,0.75
0,cities,compound_cities,conjunct_count,0.354375,0.331875,0.37814062499999995,0.5724583333333334,0.5410920555959488,0.6051797093583035,1600,0.25
1,cities,neg_cities,single,0.44986631016042783,0.42379679144385024,0.4752673796791444,0.2519302811061226,0.22941853532362452,0.2755275874529028,1496,0.5
1,cities,sp_en_trans,single,0.5,0.4463276836158192,0.5508474576271186,0.5079000287273772,0.4494302348781529,0.5656452182046371,354,0.5
1,cities,compound_cities,pooled,0.48625,0.46125,0.51125,0.5000109374999999,0.4709186331481585,0.5286835609925328,1600,0.5
1,cities,compound_cities,and_only,0.3825,0.3475,0.41875,0.55385,0.507324602656569,0.6019146726020363,800,0.25
1,cities,compound_cities,or_only,0.59,0.5575,0.62253125,0.5089333333333333,0.46569806555656823,0.5551408852191482,800,0.75
1,cities,compound_cities,conjunct_count,0.3825,0.36,0.4075,0.5211916666666667,0.4867674118223436,0.5553423906161464,1600,0.25
2,cities,neg_cities,single,0.47794117647058826,0.454528743315508,0.5046958556149732,0.2288741456718808,0.20617985647712497,0.251688643735376,1496,0.5
2,cities,sp_en_trans,single,0.5,0.4519774011299435,0.5536723163841808,0.5462989562386287,0.48547511776092855,0.6064252437966284,354,0.5
2,cities,compound_cities,pooled,0.53625,0.5131093750000001,0.56,0.511446875,0.4852078087973802,0.5388719780640854,1600,0.5
2,cities,compound_cities,and_only,0.70125,0.66875,0.7325,0.6036166666666667,0.5538915379084082,0.6505073131119523,800,0.25
2,cities,compound_cities,or_only,0.37125,0.34,0.4075,0.5742166666666666,0.5296454368340453,0.6190727473197492,800,0.75
2,cities,compound_cities,conjunct_count,0.70375,0.681875,0.725625,0.5735604166666667,0.540375550748909,0.6083428423429336,1600,0.25
3,cities,neg_cities,single,0.3790106951871658,0.3536096256684492,0.40307486631016043,0.19767150905087363,0.17566640327891309,0.21981177978213376,1496,0.5
3,cities,sp_en_trans,single,0.5,0.44625706214689265,0.5480932203389829,0.5157521784927702,0.45420634048033387,0.5754862588973852,354,0.5
3,cities,compound_cities,pooled,0.561875,0.538734375,0.586875,0.5355187499999999,0.5077562529506939,0.5657862305240543,1600,0.5
3,cities,compound_cities,and_only,0.655,0.62125,0.68875,0.5841416666666668,0.5381205110410622,0.6331692967730094,800,0.25
3,cities,compound_cities,or_only,0.46875,0.43371875000000004,0.5025312499999999,0.5531083333333333,0.5070308744009092,0.5963369444159007,800,0.75
3,cities,compound_cities,conjunct_count,0.634375,0.610625,0.658125,0.5592541666666666,0.5260763720077517,0.5925822969057193,1600,0.25
4,cities,neg_cities,single,0.3997326203208556,0.3749832887700535,0.4264705882352941,0.176315093368412,0.15678728951449747,0.19796173902603717,1496,0.5
4,cities,sp_en_trans,single,0.5056497175141242,0.45473163841807906,0.5621468926553672,0.5813144371030036,0.5211179596033791,0.6404034683957419,354,0.5
4,cities,compound_cities,pooled,0.581875,0.5562343750000001,0.60625,0.590296875,0.5605086577738838,0.6157924711850769,1600,0.5
4,cities,compound_cities,and_only,0.7,0.6675,0.7325,0.5769916666666667,0.5302327196504785,0.6229228505314038,800,0.25
4,cities,compound_cities,or_only,0.46375,0.42875,0.49875,0.551075,0.5056067666420315,0.5927108173310819,800,0.75
4,cities,compound_cities,conjunct_count,0.649375,0.625,0.670625,0.5554729166666666,0.5193034865916536,0.588711813886407,1600,0.25
5,cities,neg_cities,single,0.47393048128342247,0.44919786096256686,0.5,0.06377970488146645,0.052631404577929704,0.07533667656348621,1496,0.5
5,cities,sp_en_trans,single,0.5,0.45190677966101694,0.5508474576271186,0.5708768233904689,0.504522871515059,0.6291396339931793,354,0.5
5,cities,compound_cities,pooled,0.545625,0.520625,0.56875,0.605334375,0.5772321390589551,0.6331028909626747,1600,0.5
5,cities,compound_cities,and_only,0.76625,0.735,0.79375,0.7876333333333332,0.753305203488372,0.8223574605715898,800,0.25
5,cities,compound_cities,or_only,0.325,0.29125,0.35625,0.7303333333333334,0.6923004661339421,0.7688693591079465,800,0.75
5,cities,compound_cities,conjunct_count,0.771875,0.751875,0.792515625,0.7420312499999999,0.7149438322434175,0.767819796982299,1600,0.25
6,cities,neg_cities,single,0.49064171122994654,0.46656082887700534,0.5167112299465241,0.0301481312019217,0.022971936118805936,0.037150645022912106,1496,0.5
6,cities,sp_en_trans,single,0.5,0.4491525423728814,0.5536723163841808,0.8821858342111143,0.8451201120005484,0.9181941147446586,354,0.5
6,cities,compound_cities,pooled,0.576875,0.55375,0.6006406249999999,0.680490625,0.6532893310305552,0.7070160020868059,1600,0.5
6,cities,compound_cities,and_only,0.76375,0.73375,0.79375,0.7650750000000001,0.7275099077199215,0.8007079173791833,800,0.25
6,cities,compound_cities,or_only,0.39,0.35375,0.42253124999999997,0.731875,0.6907046406381331,0.7716262192188995,800,0.75
6,cities,compound_cities,conjunct_count,0.744375,0.7224843750000001,0.765625,0.7333854166666667,0.7071350307306664,0.7598122220914517,1600,0.25
7,cities,neg_cities,single,0.4859625668449198,0.45987633689839574,0.5113636363636364,0.009851582830507022,0.006765318908947255,0.013688640734450298,1496,0.5
7,cities,sp_en_trans,single,0.6186440677966102,0.5677966101694916,0.6694915254237288,0.9558236777426666,0.9332843412131909,0.9740140209641742,354,0.5
7,cities,compound_cities,pooled,0.523125,0.4975,0.548125,0.6584234375,0.6325648012400751,0.6830064515761727,1600,0.5
7,cities,compound_cities,and_only,0.73,0.7,0.75878125,0.7731750000000001,0.7397944285812184,0.8054044553787846,800,0.25
7,cities,compound_cities,or_only,0.31625,0.2825,0.3475,0.7660833333333333,0.7257034820331134,0.8001351417127254,800,0.75
7,cities,compound_cities,conjunct_count,0.725625,0.704359375,0.748125,0.7422583333333335,0.7187490418147474,0.7669962035639183,1600,0.25
8,cities,neg_cities,single,0.4799465240641711,0.45387700534759357,0.5053475935828877,0.012294818267608455,0.00868989562683012,0.016198673355063302,1496,0.5
8,cities,sp_en_trans,single,0.5847457627118644,0.5338983050847458,0.635593220338983,0.960292380861183,0.9386093455904072,0.9785189917599295,354,0.5
8,cities,compound_cities,pooled,0.505625,0.480625,0.53125,0.58960390625,0.5609947867551848,0.6193386662465833,1600,0.5
8,cities,compound_cities,and_only,0.7575,0.72625,0.7875,0.7896749999999999,0.7530014281859562,0.820428174788054,800,0.25
8,cities,compound_cities,or_only,0.25375,0.22246875,0.28253124999999996,0.7825458333333333,0.7448634364492102,0.8175009930828474,800,0.75
8,cities,compound_cities,conjunct_count,0.754375,0.7331093750000001,0.776875,0.7464260416666667,0.7209663643428512,0.7708855317254139,1600,0.25
9,cities,neg_cities,single,0.39438502673796794,0.3689839572192513,0.41911764705882354,0.020589665131974036,0.015853297156989944,0.025995737654842293,1496,0.5
9,cities,sp_en_trans,single,0.5282485875706214,0.4745762711864407,0.5790960451977402,0.9498228478406587,0.9261187181751676,0.9708668312329479,354,0.5
9,cities,compound_cities,pooled,0.510625,0.485625,0.535015625,0.5761843750000001,0.5501364316444668,0.6040933962527272,1600,0.5
9,cities,compound_cities,and_only,0.76125,0.73125,0.79,0.7773083333333333,0.7438109878625431,0.8090490580635431,800,0.25
9,cities,compound_cities,or_only,0.26,0.23,0.28875,0.7865,0.7471217780702354,0.8221593608601078,800,0.75
9,cities,compound_cities,conjunct_count,0.760625,0.739375,0.781875,0.7321666666666667,0.7086573208841462,0.7578538425209213,1600,0.25
10,cities,neg_cities,single,0.13770053475935828,0.12165775401069519,0.15509692513368983,0.00013940919099774112,2.682150190947715e-05,0.000302185308187541,1496,0.5
10,cities,sp_en_trans,single,0.7146892655367232,0.6694915254237288,0.7627824858757061,0.9915094640748189,0.9849055556144864,0.9970609472929095,354,0.5
10,cities,compound_cities,pooled,0.506875,0.4825,0.531875,0.82205625,0.8032286026347953,0.841068116766479,1600,0.5
10,cities,compound_cities,and_only,0.75375,0.72375,0.7825,0.9183833333333333,0.8985997573622904,0.9368907272789047,800,0.25
10,cities,compound_cities,or_only,0.26,0.22875,0.29125,0.8697333333333334,0.841066437531121,0.8958347071893397,800,0.75
10,cities,compound_cities,conjunct_count,0.756875,0.73625,0.776890625,0.9005729166666667,0.8832951957695356,0.916289373576085,1600,0.25
11,cities,neg_cities,single,0.4017379679144385,0.37767379679144386,0.4244652406417112,0.0006094683862849955,0.0002717041455669047,0.0010872654486784909,1496,0.5
11,cities,sp_en_trans,single,0.7711864406779662,0.7259887005649718,0.8163841807909604,0.9842318618532349,0.9740141068643284,0.9925266038923263,354,0.5
11,cities,compound_cities,pooled,0.505625,0.48,0.529390625,0.7754546874999999,0.7523976363489138,0.7977969364391745,1600,0.5
11,cities,compound_cities,and_only,0.75375,0.72375,0.78375,0.8941833333333333,0.8722087380668312,0.9171318196527354,800,0.25
11,cities,compound_cities,or_only,0.2575,0.22746875,0.28875,0.8579833333333333,0.830292082859807,0.8842276837921903,800,0.75
11,cities,compound_cities,conjunct_count,0.755625,0.73375,0.776875,0.8761895833333334,0.8585537926508511,0.8936367985497167,1600,0.25
12,cities,neg_cities,single,0.4979946524064171,0.47259358288770054,0.5247326203208557,0.0009740770396637034,0.00046288821173430815,0.0015885517210008943,1496,0.5
12,cities,sp_en_trans,single,0.8022598870056498,0.7598870056497176,0.844632768361582,0.9768585017076831,0.9623704157509887,0.9888289727315299,354,0.5
12,cities,compound_cities,pooled,0.51375,0.489359375,0.536890625,0.7058499999999999,0.6818046101700715,0.731427612276836,1600,0.5
12,cities,compound_cities,and_only,0.7675,0.7375,0.79625,0.90675,0.8861894422329729,0.926205193521625,800,0.25
12,cities,compound_cities,or_only,0.26,0.2275,0.29128125,0.8478,0.8163897316315535,0.8779085529182893,800,0.75
12,cities,compound_cities,conjunct_count,0.76375,0.74375,0.784375,0.8667229166666666,0.8465297540231947,0.885647673852936,1600,0.25
13,cities,neg_cities,single,0.5,0.4752673796791444,0.5254010695187166,0.0001286854070748382,2.8695723474624144e-05,0.00028073347990548387,1496,0.5
13,cities,sp_en_trans,single,0.9717514124293786,0.9519774011299436,0.9858757062146892,0.9979890835966676,0.9956584024649908,0.9995178147496921,354,0.5
13,cities,compound_cities,pooled,0.5075,0.4825,0.5325,0.6886140625,0.663973623193976,0.7145987644550396,1600,0.5
13,cities,compound_cities,and_only,0.76125,0.7325,0.78875,0.8972166666666666,0.8760654694423355,0.9189543377875334,800,0.25
13,cities,compound_cities,or_only,0.25375,0.22371875,0.2825,0.8309583333333332,0.7975947420235974,0.8598464110556802,800,0.75
13,cities,compound_cities,conjunct_count,0.7575,0.73625,0.7781406249999999,0.8608020833333334,0.8410502642530496,0.8797604675113812,1600,0.25
14,cities,neg_cities,single,0.5,0.4752673796791444,0.5280915775401069,0.003590680316852069,0.001798033366631561,0.005833962701796339,1496,0.5
14,cities,sp_en_trans,single,0.864406779661017,0.827683615819209,0.8983757062146892,0.9991700979922755,0.9978557544854588,0.999936061381074,354,0.5
14,cities,compound_cities,pooled,0.5625,0.53875,0.5875,0.6785109375,0.6527557964616942,0.703801097173562,1600,0.5
14,cities,compound_cities,and_only,0.8575,0.8325,0.8800312499999999,0.9194083333333334,0.8983384720889248,0.9389672338145597,800,0.25
14,cities,compound_cities,or_only,0.2675,0.2375,0.29875,0.8353999999999999,0.8061524678854369,0.8639290400402629,800,0.75
14,cities,compound_cities,conjunct_count,0.8125,0.79375,0.83,0.8784520833333332,0.8611041961981184,0.8955280909854941,1600,0.25
15,cities,neg_cities,single,0.5,0.4752673796791444,0.5247493315508022,0.05246075095084218,0.04292628348639781,0.06325543274588606,1496,0.5
15,cities,sp_en_trans,single,0.9519774011299436,0.9293785310734464,0.9717514124293786,0.9995850489961378,0.9987230320002263,1.0,354,0.5
15,cities,compound_cities,pooled,0.5675,0.545,0.59125,0.6250625,0.597742025721938,0.6501642015094078,1600,0.5
15,cities,compound_cities,and_only,0.8675,0.8425,0.8925312499999999,0.9276249999999999,0.9084266593139134,0.9464163947569298,800,0.25
15,cities,compound_cities,or_only,0.2675,0.23746874999999998,0.3,0.9052749999999999,0.8840604096062066,0.9266314916996553,800,0.75
15,cities,compound_cities,conjunct_count,0.8175,0.7999843750000001,0.8350156249999999,0.87376875,0.8560385208878142,0.8909587181601437,1600,0.25
16,cities,neg_cities,single,0.49866310160427807,0.472576871657754,0.5227439839572192,0.14328941348051133,0.12392519168470373,0.16118113759399527,1496,0.5
16,cities,sp_en_trans,single,0.9858757062146892,0.9717514124293786,0.9971751412429378,0.9990105014523285,0.9973797722674882,1.0,354,0.5
16,cities,compound_cities,pooled,0.511875,0.48810937499999996,0.535625,0.5349593749999999,0.5050402355628721,0.5617693457415704,1600,0.5
16,cities,compound_cities,and_only,0.74875,0.7199687499999999,0.77875,0.9519083333333334,0.9373597409302107,0.965825650369277,800,0.25
