layer,cosine_sim_mean,cosine_sim_ci_lo,cosine_sim_ci_hi
0,0.13417838364839554,0.11421288222700444,0.15414388506978666
1,0.12117560654878616,0.09275419372080534,0.14959701937676698
2,0.28285968899726865,0.2761882448745624,0.2895311331199749
3,0.232700714468956,0.22253496620662352,0.24286646273128845
4,0.197664338350296,0.19038204219230276,0.20494663450828926
5,0.25836101174354553,0.252142186203722,0.2645798372833691
6,0.27873199582099917,0.27551975318092964,0.2819442384610687
7,0.26430744528770445,0.2593726972223418,0.2692421933530671
8,0.3708626925945282,0.36531415395242944,0.37641123123662695
9,0.4248748779296875,0.41907008187721767,0.4306796739821573
10,0.35468066930770875,0.34708884304879684,0.36227249556662067
11,0.42009183168411257,0.4143295626839119,0.42585410068431323
12,0.46218442916870117,0.45460650809397213,0.4697623502434302
13,0.4861415207386017,0.48248811378612294,0.4897949276910804
14,0.5432901740074157,0.5363726362321573,0.5502077117826742
15,0.5354039669036865,0.5292230578326701,0.541584875974703
16,0.579170036315918,0.5741358086475845,0.5842042639842515
17,0.5880606651306153,0.5789128495645117,0.5972084806967188
18,0.581263542175293,0.5744120653843544,0.5881150189662315
19,0.5725530743598938,0.5616861521681753,0.5834199965516123
20,0.5613177657127381,0.5513297740124252,0.5713057574130509
21,0.527584433555603,0.5145697973139883,0.5405990697972177
22,0.5170468091964722,0.5026217205261764,0.531471897866768
23,0.5050998866558075,0.49026334012796363,0.5199364331836515
24,0.4880721986293793,0.475386850645164,0.5007575466135945
25,0.4971751272678375,0.4809669851690642,0.5133832693666108
26,0.48720995187759397,0.4731645043647551,0.5012553993904328
27,0.4830647945404053,0.4740451088670646,0.492084480213746
