layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,auroc_mean,auroc_ci_lo,auroc_ci_hi
0,0.49943502824858754,0.4955927266629477,0.5032773298342275,0.44800025535446386,0.4356604094620004,0.4603401012469273
1,0.4966101694915254,0.4936755631816848,0.499544775801366,0.535599604200581,0.527657679792484,0.5435415286086779
2,0.5045197740112994,0.4957159550817777,0.5133235929408212,0.5525742921893453,0.5407757971428144,0.5643727872358761
3,0.49322033898305084,0.47313229045537425,0.5133083875107274,0.5324459765712279,0.5184726965777023,0.5464192565647535
4,0.4954802259887006,0.4874052960706582,0.503555155906743,0.4980944173130327,0.48912335458615747,0.5070654800399079
5,0.49943502824858754,0.4978664151948035,0.5010036413023716,0.5006607296753807,0.4933408680334459,0.5079805913173154
6,0.4971751412429379,0.4936676158242832,0.5006826666615926,0.5044974304957068,0.4797321043576164,0.5292627566337973
7,0.5175141242937854,0.5027574850505021,0.5322707635370687,0.5873344185898051,0.5710080384610596,0.6036607987185505
8,0.5203389830508475,0.49451635318307496,0.54616161291862,0.6897187908966134,0.6549667432392791,0.7244708385539477
9,0.5937853107344633,0.5151822999951033,0.6723883214738232,0.8070988540968432,0.7889807901119522,0.8252169180817343
10,0.5666666666666667,0.5076818098449577,0.6256515234883756,0.9698681732580037,0.9652337317654431,0.9745026147505642
11,0.5774011299435028,0.5315611139828107,0.6232411459041949,0.9501867279517381,0.9446093979775364,0.9557640579259398
12,0.5192090395480227,0.4822216892326651,0.5561963898633803,0.9161479779118389,0.8967863682520661,0.9355095875716116
13,0.9327683615819209,0.8396899769863623,1.0258467461774796,0.9977401129943504,0.9966470019948868,0.998833223993814
14,0.5423728813559322,0.5029229647253819,0.5818227979864825,0.9988126017427943,0.9981151275242376,0.999510075961351
15,0.9813559322033898,0.9740825726894659,0.9886292917173137,0.995192952216796,0.9931649554458422,0.9972209489877499
16,0.9237288135593221,0.8873620159897024,0.9600956111289418,0.988349452583868,0.9838949192850089,0.992803985882727
17,0.7734463276836159,0.6790880264966633,0.8678046288705684,0.9762967218870695,0.9687756982064805,0.9838177455676586
18,0.8451977401129943,0.77821410558226,0.9121813746437286,0.9823613904050561,0.9783242038701354,0.9863985769399768
19,0.5785310734463277,0.4589044006550548,0.6981577462376006,0.976801046953302,0.9682506159151397,0.9853514779914644
20,0.5158192090395481,0.4908196307275956,0.5408187873515007,0.9298988157936737,0.9079022485751631,0.9518953830121843
21,0.5497175141242938,0.5036098950966155,0.5958251331519722,0.8581250598487025,0.810633004013022,0.905617115684383
22,0.5734463276836157,0.506757209048362,0.6401354463188694,0.8704012257014269,0.8352417639066653,0.9055606874961885
23,0.6440677966101696,0.5576871939718364,0.7304483992485027,0.8292955408726739,0.7794748667257223,0.8791162150196254
24,0.6389830508474577,0.5424655363191002,0.7355005653758151,0.8353857448370521,0.7811820140002194,0.8895894756738848
25,0.5745762711864406,0.5059057669083327,0.6432467754645486,0.8437039164990903,0.7820159687960734,0.9053918642021072
26,0.5209039548022598,0.49809155308753184,0.5437163565169878,0.814912700692649,0.7548484774137368,0.8749769239715611
27,0.5,0.5,0.5,0.787174822049858,0.7419791945266654,0.8323704495730506
