layer,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,auroc_mean,auroc_ci_lo,auroc_ci_hi
0,0.5103333333333334,0.49067910001099085,0.529987566655676,0.5272066666666666,0.5103633019850239,0.5440500313483093
1,0.527,0.5007254457226209,0.5532745542773791,0.5533466666666667,0.5179618549612136,0.5887314783721197
2,0.5726666666666667,0.5490895775592944,0.5962437557740389,0.6228088888888889,0.6056893356970682,0.6399284420807095
3,0.6163333333333333,0.6044093357184329,0.6282573309482337,0.6706977777777778,0.643687220171096,0.6977083353844596
4,0.6523333333333333,0.6261322288000535,0.6785344378666132,0.7257711111111111,0.6959686306181193,0.755573591604103
5,0.7826666666666666,0.7644720635942311,0.8008612697391021,0.8586444444444445,0.8373999542492372,0.8798889346396519
6,0.8423333333333334,0.8135614185290705,0.8711052481375963,0.9271266666666665,0.908547534488563,0.9457057988447701
7,0.9209999999999999,0.9012805061771401,0.9407194938228598,0.9719577777777777,0.9607495596528647,0.9831659959026907
8,0.93,0.9116647149123629,0.9483352850876372,0.9813199999999999,0.9742939107140917,0.9883460892859081
9,0.9366666666666668,0.9218879090408826,0.9514454242924509,0.9850466666666667,0.9798010419691182,0.9902922913642153
10,0.9886666666666667,0.9822214324240863,0.9951119009092471,0.9990600000000001,0.9982946739464751,0.999825326053525
11,0.9883333333333333,0.9830572758698611,0.9936093907968054,0.9990266666666667,0.9983448602497834,0.99970847308355
12,0.9896666666666667,0.9835626956198381,0.9957706377134953,0.9992555555555557,0.9986022327694686,0.9999088783416428
13,0.9903333333333333,0.9844073590176687,0.9962593076489978,0.9995844444444444,0.9992350691433237,0.9999338197455651
14,0.9903333333333334,0.9847804431229378,0.995886223543729,0.9995977777777778,0.9992388891740426,0.999956666381513
15,0.991,0.9862357913483549,0.995764208651645,0.999568888888889,0.9990643905233682,1.0000733872544096
16,0.9909999999999999,0.9858057468315821,0.9961942531684177,0.9996,0.9991188088445063,1.0000811911554939
17,0.9916666666666666,0.9872767215012412,0.9960566118320919,0.9997222222222222,0.999487280267088,0.9999571641773564
18,0.9916666666666666,0.9877950989410246,0.9955382343923086,0.9996733333333335,0.9993945599733546,0.9999521066933125
19,0.9906666666666666,0.9859024580150215,0.9954308753183116,0.9996422222222222,0.9993607648572027,0.9999236795872417
20,0.9906666666666666,0.9850753476917888,0.9962579856415443,0.9996711111111111,0.9994274985738678,0.9999147236483543
21,0.991,0.986466084128945,0.995533915871055,0.9996688888888888,0.9994193327675609,0.9999184450102168
22,0.99,0.9847239425365277,0.9952760574634723,0.999688888888889,0.9994906350490663,0.9998871427287116
23,0.9903333333333333,0.9863526860198333,0.9943139806468333,0.9996511111111112,0.9994352535398167,0.9998669686824057
24,0.9896666666666667,0.9854255767141805,0.9939077566191529,0.9995555555555555,0.9991981816489217,0.9999129294621893
25,0.99,0.9849309279540279,0.9950690720459721,0.9995444444444445,0.9991548372880983,0.9999340516007906
26,0.9890000000000001,0.984235791348355,0.9937642086516452,0.9995444444444443,0.9991553261303939,0.9999335627584948
27,0.9869999999999999,0.9852685822771939,0.9887314177228058,0.999491111111111,0.9991371622505627,0.9998450599716593
